"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000630866.1","SPTAN1-223","ENSP00000487444.1","ENSG00000197694.18","SPTAN1",-0.827447187373846,-49.7081930484585,1.10966718538319e-282,1.79560702500556e-287,-0.341484601689008,"protein_coding"
"ENST00000393565.6","DBN1-203","ENSP00000377195.1","ENSG00000113758.14","DBN1",-0.736009511074346,-36.6762029522896,3.05981314802884e-190,4.95958043282087e-195,-0.0656363587667535,"protein_coding"
"ENST00000645440.1","RPS24-216","ENSP00000496738.1","ENSG00000138326.21","RPS24",-0.73016183605881,-36.0491650264089,1.17311458630688e-185,1.90190591317728e-190,0.0369240932675088,"protein_coding"
"ENST00000532375.5","TSPAN4-220","ENSP00000434818.1","ENSG00000214063.12","TSPAN4",-0.717475041591975,-34.7459589324639,4.08764109599238e-176,6.63125968656497e-181,-0.340184633972004,"protein_coding"
"ENST00000598334.5","DTNA-230","ENSP00000470152.1","ENSG00000134769.23","DTNA",-0.677990838489662,-31.1147309337373,1.63493265646147e-149,2.65704455642832e-154,-0.341369098605506,"protein_coding"
"ENST00000271643.9","ADAMTSL4-201","ENSP00000271643.4","ENSG00000143382.16","ADAMTSL4",-0.657026980291697,-29.4008283394424,5.07793267905832e-137,8.26298154564117e-142,-0.310572558822031,"protein_coding"
"ENST00000449352.7","FHIP1B-202","ENSP00000416918.3","ENSG00000051009.11","FHIP1B",-0.650673246109568,-28.9059735433126,1.97813173725039e-133,3.22097850205229e-138,-0.162782650617502,"protein_coding"
"ENST00000545578.5","INTS11-248","ENSP00000444672.1","ENSG00000127054.22","INTS11",-0.644416010795808,-28.4289294604637,5.60873957387909e-130,9.13773146607867e-135,-0.209572300880216,"protein_coding"
"ENST00000650810.1","MXI1-214","ENSP00000498390.1","ENSG00000119950.21","MXI1",-0.643794208961754,-28.3820647114713,1.22330138696556e-129,1.99315908263228e-134,-0.290384543886059,"protein_coding"
"ENST00000621128.4","NCAM1-228","ENSP00000481083.1","ENSG00000149294.17","NCAM1",-0.643441396249536,-28.3555162015059,1.90261294409814e-129,3.10008137796448e-134,-0.341508216337362,"protein_coding"
"ENST00000681241.1","DTNA-245","ENSP00000506495.1","ENSG00000134769.23","DTNA",-0.635004023077545,-27.7296351999523,6.19737261506742e-125,1.0105620153063e-129,-0.341369098605506,"protein_coding"
"ENST00000291839.10","ST6GALNAC6-201","ENSP00000291839.6","ENSG00000160408.16","ST6GALNAC6",-0.633646978954201,-27.6305483592041,3.19843853186257e-124,5.21623453832146e-129,-0.381966032888221,"protein_coding"
"ENST00000510187.5","SQSTM1-213","ENSP00000424477.1","ENSG00000161011.20","SQSTM1",-0.630839181193333,-27.4268809648992,9.29709904002002e-123,1.51668037651838e-127,-0.343535618133407,"protein_coding"
"ENST00000361042.8","WASF3-202","ENSP00000354325.4","ENSG00000132970.14","WASF3",-0.629248196215645,-27.3122733010347,6.17817634871407e-122,1.0080893431965e-126,-0.39418947076661,"protein_coding"
