"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000347557.6","SMTN-202","ENSP00000328635.5","ENSG00000183963.19","SMTN",-0.882990631686596,-63.4589423877257,0,0,-0.669306758687045,"protein_coding"
"ENST00000274629.9","KCNMB1-201","ENSP00000274629.3","ENSG00000145936.9","KCNMB1",-0.864419802808947,-57.9997143084294,0,0,-0.862099906592409,"protein_coding"
"ENST00000452625.7","MYH11-203","ENSP00000407821.2","ENSG00000133392.18","MYH11",-0.864117391505777,-57.919567501039,0,0,-0.849283518173057,"protein_coding"
"ENST00000345517.8","ACTG2-201","ENSP00000295137.3","ENSG00000163017.14","ACTG2",-0.860031414431697,-56.8604142704686,0,0,-0.862668236400537,"protein_coding"
"ENST00000457907.3","OSR2-203","ENSP00000414657.2","ENSG00000164920.10","OSR2",-0.855502065534767,-55.7353397535216,0,0,-0.778792029012361,"protein_coding"
"ENST00000262426.6","FOXF1-201","ENSP00000262426.4","ENSG00000103241.7","FOXF1",-0.851872325544552,-54.8683648212695,3.90888928888927e-317,6.32404026676796e-322,-0.851872325544552,"protein_coding"
"ENST00000622030.2","SRD5A2-201","ENSP00000477587.1","ENSG00000277893.2","SRD5A2",-0.849926687651392,-54.4156228266901,3.65499665696301e-314,5.91337290194471e-319,-0.849926687651392,"protein_coding"
"ENST00000252456.7","CNN1-201","ENSP00000252456.1","ENSG00000130176.8","CNN1",-0.849074770962007,-54.2199246044932,7.05194556066954e-313,1.14094381967861e-317,-0.849534764346558,"protein_coding"
"ENST00000425538.6","MYOCD-203","ENSP00000401678.1","ENSG00000141052.18","MYOCD",-0.847122521142729,-53.77714611873,5.81070496301298e-310,9.40137033509631e-315,-0.842273137842786,"protein_coding"
"ENST00000372980.4","JPH2-202","ENSP00000362071.3","ENSG00000149596.7","JPH2",-0.844243641121256,-53.1382060879265,9.78238943016035e-306,1.58275724527721e-310,-0.842883411094768,"protein_coding"
"ENST00000375142.5","CAPZB-203","ENSP00000364284.1","ENSG00000077549.19","CAPZB",-0.841636035083876,-52.5733156296134,5.55844386137567e-302,8.99351809946715e-307,-0.613527472600323,"protein_coding"
"ENST00000373960.4","DES-201","ENSP00000363071.3","ENSG00000175084.13","DES",-0.840391256369384,-52.3081350247507,3.2604865934334e-300,5.27552681611773e-305,-0.836258158034503,"protein_coding"
"ENST00000309099.7","MRGPRF-201","ENSP00000309782.6","ENSG00000172935.9","MRGPRF",-0.838390789712112,-51.8878478518888,2.10629706262749e-297,3.40808223326941e-302,-0.836833574750671,"protein_coding"
"ENST00000396396.6","PGM5-202","ENSP00000379678.1","ENSG00000154330.13","PGM5",-0.834637759562293,-51.1182316703717,3.11552046243631e-292,5.04113210322693e-297,-0.836249948706035,"protein_coding"
"ENST00000367288.5","LMOD1-201","ENSP00000356257.4","ENSG00000163431.13","LMOD1",-0.833561312471933,-50.9018798085181,8.96302557168406e-291,1.45030429470139e-295,-0.843510498870397,"protein_coding"
"ENST00000555019.6","ASB2-203","ENSP00000451575.1","ENSG00000100628.12","ASB2",-0.82959377404313,-50.1206332209711,1.74084102711027e-285,2.81689486587423e-290,-0.781018757151702,"protein_coding"
"ENST00000630866.1","SPTAN1-223","ENSP00000487444.1","ENSG00000197694.18","SPTAN1",-0.827447187373846,-49.7081930484585,1.10966718538319e-282,1.79560702500556e-287,-0.341484601689008,"protein_coding"
"ENST00000300036.6","MYH11-201","ENSP00000300036.5","ENSG00000133392.18","MYH11",-0.827031651998509,-49.6291580735911,3.83337479059038e-282,6.20307257611958e-287,-0.849283518173057,"protein_coding"
"ENST00000376141.5","PAGE4-202","ENSP00000365311.1","ENSG00000101951.17","PAGE4",-0.826691287852231,-49.5646125455847,1.05560306208951e-281,1.7081784910101e-286,-0.834816519583641,"protein_coding"
"ENST00000279022.7","MYL9-201","ENSP00000279022.2","ENSG00000101335.10","MYL9",-0.825454788384528,-49.3315671369559,4.1079498547361e-280,6.6475983149979e-285,-0.791573707927097,"protein_coding"
"ENST00000409918.5","ACTG2-204","ENSP00000387182.1","ENSG00000163017.14","ACTG2",-0.825263447396023,-49.2957048597347,7.22036382319478e-280,1.16843819454564e-284,-0.862668236400537,"protein_coding"
"ENST00000264360.7","PCDH10-201","ENSP00000264360.4","ENSG00000138650.9","PCDH10",-0.823388662546325,-48.9471149987895,1.74903772735946e-277,2.83043293419985e-282,-0.801313894637576,"protein_coding"
"ENST00000264664.5","FGF10-201","ENSP00000264664.4","ENSG00000070193.5","FGF10",-0.821216650389841,-48.5494748151429,9.33106791576155e-275,1.51005258132176e-279,-0.82022040819522,"protein_coding"
"ENST00000397624.7","MEIS2-205","ENSP00000380749.3","ENSG00000134138.20","MEIS2",-0.820991334810075,-48.5085996652968,1.78116132015624e-274,2.88251119911354e-279,-0.784877761906112,"protein_coding"
"ENST00000419761.6","MKX-202","ENSP00000400896.1","ENSG00000150051.14","MKX",-0.819909697363513,-48.3133409258903,3.91834100123207e-273,6.3412810947097e-278,-0.817016260305061,"protein_coding"
