"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000530374.6","CYHR1-209","ENSP00000433769.1","ENSG00000187954.13","CYHR1",0.58249760697026,24.174876327579,9.41592433042628e-100,1.54488577834358e-104,0.010698615366177,"protein_coding"
"ENST00000550845.5","DYNLL1-209","ENSP00000447494.1","ENSG00000088986.11","DYNLL1",0.557478656901295,22.6527646629469,2.72126813861518e-89,4.48181451730159e-94,0.189474800454677,"protein_coding"
"ENST00000229758.8","FBXO5-201","ENSP00000229758.3","ENSG00000112029.10","FBXO5",0.554294145985932,22.4657358503748,5.04857332497822e-88,8.31917299703098e-93,0.373937592813453,"protein_coding"
"ENST00000346618.8","E2F3-201","ENSP00000262904.4","ENSG00000112242.16","E2F3",0.545403044468957,21.951011926221,1.48870816124977e-84,2.45706012848829e-89,0.367442366805961,"protein_coding"
"ENST00000446531.1","H2AZ2-207","ENSP00000406901.1","ENSG00000105968.19","H2AZ2",0.540496320391043,21.6715035498804,1.10499510847079e-82,1.8256536174054e-87,0.123950317401468,"protein_coding"
"ENST00000599988.5","FCGRT-217","ENSP00000471300.1","ENSG00000104870.13","FCGRT",0.524003944631203,20.7544373848766,1.28656119729763e-76,2.13222161006584e-81,-0.290801006772541,"protein_coding"
"ENST00000470753.1","NDUFA6-201","ENSP00000473478.1","ENSG00000184983.11","NDUFA6",0.51897213894174,20.4811884997778,7.84239870116528e-75,1.30108147540734e-79,0.0726794130865906,"protein_coding"
"ENST00000527954.1","EXOSC4-203","ENSP00000436539.1","ENSG00000178896.9","EXOSC4",0.516895237649341,20.3692579799372,4.19311124529755e-74,6.95940523028257e-79,0.156529345975694,"protein_coding"
"ENST00000429568.1","POLR2H-202","ENSP00000415536.1","ENSG00000163882.10","POLR2H",0.516667439480363,20.3570112156605,5.03591995798755e-74,8.35878957954347e-79,0.338920818356812,"protein_coding"
"ENST00000392369.6","RAN-202","ENSP00000376176.2","ENSG00000132341.12","RAN",0.509526545847807,19.9760591535568,1.46332054990354e-71,2.43298786250484e-76,0.262637885938077,"protein_coding"
"ENST00000613865.5","RPS24-214","ENSP00000478869.2","ENSG00000138326.21","RPS24",0.505471955184584,19.7622504239312,3.45300654242378e-70,5.74591320812676e-75,0.0369240932675088,"protein_coding"
"ENST00000347708.5","HGH1-201","ENSP00000321320.5","ENSG00000235173.7","HGH1",0.503593207950553,19.6637778853,1.47230204605461e-69,2.45138535806628e-74,0.0619987178389107,"protein_coding"
