"id","name","gene_type","corr","pval","padj","stat"
"ENSG00000268388.6","FENDRR","lncRNA",-0.861335767148511,0,0,-57.1938095339067
"ENSG00000224958.6","PGM5-AS1","lncRNA",-0.816659650959002,6.053918133654e-274,3.60510824859096e-270,-47.7360431806321
"ENSG00000261625.1","ENSG00000261625","lncRNA",-0.801218757603008,4.59969952531182e-256,1.82608071154879e-252,-45.1701266615609
"ENSG00000174403.17","MIR1-1HG-AS1","lncRNA",-0.797327020432614,8.34796842514155e-252,2.4856075985859e-248,-44.5652282555268
"ENSG00000230937.13","MIR205HG","lncRNA",-0.784079704611748,5.58298855994314e-238,1.32986787497846e-234,-42.6164710701812
"ENSG00000269186.4","LINC01082","lncRNA",-0.770196902063611,1.66987141474613e-224,3.31469475827107e-221,-40.7365429811702
"ENSG00000250360.1","ENSG00000250360","lncRNA",-0.760956526580279,4.74745671093408e-216,8.07745848960356e-213,-39.5656417824587
"ENSG00000230500.1","MKX-AS1","lncRNA",-0.756951361261657,1.66778597249076e-212,2.48291636654562e-209,-39.0762284041901
"ENSG00000254510.3","ENSG00000254510","lncRNA",-0.749143068073246,8.70924651922371e-206,1.1525236227106e-202,-38.1513733885733
"ENSG00000259663.2","ISL1-DT","lncRNA",-0.742025235660416,7.0870041464363e-200,8.44062193840563e-197,-37.3399707417968
"ENSG00000267405.1","ENSG00000267405","lncRNA",-0.732372646600806,3.63476776524523e-192,3.93546218946097e-189,-36.2841821047325
"ENSG00000283175.1","ENSG00000283175","lncRNA",-0.725527827399137,6.71306660732433e-187,6.6627186077694e-184,-35.5643652293986
"ENSG00000231246.3","LINC02884","lncRNA",-0.722658605102051,9.70977695115058e-185,8.89564949909257e-182,-35.2693416261824
"ENSG00000268505.1","ENSG00000268505","lncRNA",-0.710773910106007,4.49146452719279e-176,3.82095303706187e-173,-34.0869047225091
"ENSG00000285972.1","CERNA2","lncRNA",-0.708192337325887,2.99698108455539e-174,2.37960298113698e-171,-33.8380730553656
"ENSG00000267505.1","ENSG00000267505","lncRNA",-0.705749707278073,1.52920839825036e-172,1.13830450144761e-169,-33.6051418729096
"ENSG00000261616.1","ENSG00000261616","lncRNA",-0.701485327463208,1.33071916899892e-169,9.32286194281008e-167,-33.2041813573236
"ENSG00000260577.2","ENSG00000260577","lncRNA",-0.696959583035674,1.53837444522344e-166,1.01789109125618e-163,-32.7863218714511
"ENSG00000266256.3","LINC00683","lncRNA",-0.695255913428732,2.11479581296027e-165,1.32564305959773e-162,-32.6310121461657
"ENSG00000282556.4","ENSG00000282556","lncRNA",-0.692319529154231,1.85516030256687e-163,1.10474796017857e-160,-32.3658162870386
"ENSG00000289448.1","ENSG00000289448","lncRNA",-0.691204148317117,1.00081797709781e-162,5.67606767011186e-160,-32.2658953290511
"ENSG00000241158.7","ADAMTS9-AS1","lncRNA",-0.688037548120194,1.14915340494665e-160,6.22109866041573e-158,-31.9846097885602
"ENSG00000287281.1","ENSG00000287281","lncRNA",-0.683852010561079,5.53299877133845e-158,2.86513110289743e-155,-31.6181231825993
"ENSG00000272971.1","ENSG00000272971","lncRNA",-0.670874439583408,6.0319259185794e-150,2.99334323709503e-147,-30.5182525769629
"ENSG00000251573.2","LINC02106","lncRNA",-0.6635904728602,1.30275027777849e-145,6.20630232333673e-143,-29.9236053049623
"ENSG00000276855.1","ENSG00000276855","lncRNA",-0.663270778254598,2.00586080535712e-145,9.18838545838588e-143,-29.897860621572
"ENSG00000275120.3","ENSG00000275120","lncRNA",-0.661995481640816,1.11613212393714e-144,4.92338281336716e-142,-29.7954524014716
"ENSG00000229619.5","MBNL1-AS1","lncRNA",-0.660464564960763,8.66377580595206e-144,3.68519892317461e-141,-29.6731255601637
"ENSG00000232855.7","ENSG00000232855","lncRNA",-0.660064942998708,1.47625977909644e-143,6.06284619622021e-141,-29.6413023766586
"ENSG00000248994.2","ENSG00000248994","lncRNA",-0.656604731285476,1.44039523490887e-141,5.71836908258821e-139,-29.3676054298782
"ENSG00000248890.3","HHIP-AS1","lncRNA",-0.65508394751196,1.05802258673108e-140,4.06485451869908e-138,-29.2483500402776
"ENSG00000250208.7","FZD10-AS1","lncRNA",-0.654043645616535,4.11157641981581e-140,1.5302773487502e-137,-29.1671317290167
"ENSG00000226237.3","GAS1RR","lncRNA",-0.645809545465025,1.58083539896174e-135,5.70537866716192e-133,-28.5343100626462
"ENSG00000231419.6","LINC00689","lncRNA",-0.645575536381385,2.12381139573982e-135,7.43958638919449e-133,-28.5165799956736
"ENSG00000228221.6","LINC00578","lncRNA",-0.642558600211161,9.33809029283975e-134,3.17761872536347e-131,-28.2892223637513
"ENSG00000256508.2","MRGPRF-AS1","lncRNA",-0.63965422333017,3.4251684097202e-132,1.13315988221577e-129,-28.0724649653838
"ENSG00000280241.4","ENSG00000280241","lncRNA",-0.638179374955874,2.10205507702627e-131,6.76634485604943e-129,-27.9631768072187
"ENSG00000263065.1","ENSG00000263065","lncRNA",-0.636534901561217,1.57093367980281e-130,4.92363687538197e-128,-27.841931413121
"ENSG00000278192.1","ENSG00000278192","lncRNA",-0.636499204679338,1.64081787133463e-130,5.01080534553729e-128,-27.839306623196
"ENSG00000180139.11","ACTA2-AS1","lncRNA",-0.635684892656362,4.42164772611754e-130,1.3165456104515e-127,-27.779511835875
"ENSG00000250685.7","ENSG00000250685","lncRNA",-0.628484809808221,2.49172845076466e-126,7.23816728014807e-124,-27.2574844354654
"ENSG00000250786.3","SNHG18","lncRNA",-0.627703556628422,6.27429086911427e-126,1.7792096250274e-123,-27.2015480475384
"ENSG00000234336.7","JAZF1-AS1","lncRNA",-0.625829963528694,5.68508706827714e-125,1.5746369065856e-122,-27.0679533160016
"ENSG00000203706.8","SERTAD4-AS1","lncRNA",-0.622797040494438,1.95159051167489e-123,5.28260068046544e-121,-26.8533221473993
"ENSG00000254489.3","MPPED2-AS1","lncRNA",-0.620210048168758,3.86317015123601e-122,1.0224523666938e-119,-26.6718127364846
"ENSG00000225194.4","LINC00092","lncRNA",-0.619376088251571,1.00536996983059e-121,2.60303398710485e-119,-26.6136027885033
"ENSG00000259430.2","CERS3-AS1","lncRNA",-0.618701367110146,2.17509340341853e-121,5.51177924142866e-119,-26.566614620241
"ENSG00000258636.2","LRFN5-DT","lncRNA",-0.618653140039751,2.29827661268749e-121,5.70259884523083e-119,-26.5632596973051
"ENSG00000289502.1","ENSG00000289502","lncRNA",-0.616886175034908,1.71825736376933e-120,4.17641738826382e-118,-26.4406746690518
"ENSG00000246334.3","PRR7-AS1","lncRNA",0.616086785392479,4.25133487520174e-120,1.01266796727305e-117,26.3854286813187
"ENSG00000268754.4","LINC01081","lncRNA",-0.615611579061892,7.27565598029631e-120,1.69907966128096e-117,-26.3526493906438
"ENSG00000267069.2","ENSG00000267069","lncRNA",-0.615562886993595,7.68704678894345e-120,1.76062937031378e-117,-26.3492932741185
"ENSG00000255248.10","MIR100HG","lncRNA",-0.615540618685809,7.88283656163244e-120,1.77140723488759e-117,-26.3477585857322
"ENSG00000234638.1","ENSG00000234638","lncRNA",-0.613791849289091,5.64622974888113e-119,1.24530733905878e-116,-26.2275529009137
"ENSG00000231817.9","LINC01198","lncRNA",-0.612680359505748,1.96085619964631e-118,4.24614497050683e-116,-26.1514745221584
"ENSG00000251615.3","ENSG00000251615","lncRNA",-0.607527298230955,5.90532448614198e-116,1.25593597553484e-113,-25.8019792846057
"ENSG00000246022.4","ALDH1L1-AS2","lncRNA",-0.606763013064846,1.36465453762703e-115,2.85140974441016e-113,-25.7505872355564
"ENSG00000241684.7","ADAMTS9-AS2","lncRNA",-0.59623547585826,1.11367666897924e-110,2.28687743578323e-108,-25.0539603391904
"ENSG00000223382.6","LINC01778","lncRNA",-0.595885670047942,1.61008997217967e-110,3.2501985709593e-108,-25.0311648053781
"ENSG00000228223.3","HCG11","lncRNA",-0.592093691227762,8.50562204695752e-109,1.68836597632107e-106,-24.7854633879746
"ENSG00000283633.1","ENSG00000283633","lncRNA",-0.589067080835845,1.94305548111469e-107,3.79373619345507e-105,-24.5911762468722
"ENSG00000232046.7","LINC01798","lncRNA",-0.587943082830051,6.15812097673801e-107,1.182955174725e-104,-24.5194286387247
"ENSG00000229056.2","HECW2-AS1","lncRNA",-0.587622172052626,8.55297164976359e-107,1.61691892616959e-104,-24.4989839990971
"ENSG00000255390.1","DCHS1-AS1","lncRNA",-0.584398867536966,2.27144100865669e-105,4.22700975204706e-103,-24.2946067640549
"ENSG00000281453.1","TGFB2-OT1","lncRNA",-0.583921609461748,3.67975074127317e-105,6.74243558900976e-103,-24.264494958219
"ENSG00000230918.3","DPP4-DT","lncRNA",-0.57978492758957,2.32999610178806e-103,4.20458387459027e-101,-24.0050854448374
"ENSG00000272734.1","ADIRF-AS1","lncRNA",-0.577083318154197,3.38886841516637e-102,6.02409295890022e-100,-23.8371826517528
"ENSG00000228862.4","ENSG00000228862","lncRNA",-0.575655067030078,1.38153935806814e-101,2.41972555214582e-99,-23.7488933519562
"ENSG00000232229.7","LINC00865","lncRNA",-0.571709118488166,6.4710816938492e-100,1.11696497063397e-97,-23.5066504662138
"ENSG00000263400.8","TMEM220-AS1","lncRNA",-0.564724428122892,5.16600401988091e-97,8.78958683954023e-95,-23.0837640522625
"ENSG00000226005.6","LINC02660","lncRNA",-0.56227157428263,5.19967421714797e-96,8.70063347756812e-94,-22.937000220249
"ENSG00000287477.1","ENSG00000287477","lncRNA",-0.562259304008042,5.25982880256007e-96,8.70063347756812e-94,-22.9362682778268
"ENSG00000253647.1","KCNIP1-OT1","lncRNA",-0.560390354326325,3.01593556441857e-95,4.9205195304418e-93,-22.8250400101146
"ENSG00000226530.3","ENSG00000226530","lncRNA",-0.559407768228011,7.52034249877906e-95,1.21036863730349e-92,-22.7667668178718
"ENSG00000259460.1","ENSG00000259460","lncRNA",-0.557396272961466,4.83556045118637e-94,7.67886999648396e-92,-22.6479080242675
"ENSG00000213468.7","FIRRE","lncRNA",0.557281256029722,5.37641869807827e-94,8.42541403869897e-92,22.6411292521626
"ENSG00000259884.1","NR4A1AS","lncRNA",-0.555061815937933,4.12586197946742e-93,6.38169041239701e-91,-22.510690425367
"ENSG00000288048.1","ENSG00000288048","lncRNA",-0.554557196576791,6.54345044228924e-93,9.99134548303396e-91,-22.4811306927956
"ENSG00000258137.6","ENSG00000258137","lncRNA",-0.554525409735089,6.73615509798516e-93,1.0155393318608e-90,-22.4792698745793
"ENSG00000286273.1","ENSG00000286273","lncRNA",-0.55370602504716,1.42191954056159e-92,2.11688271601107e-90,-22.4313516333598
"ENSG00000270412.1","ENSG00000270412","lncRNA",-0.553592077654421,1.57733854965507e-92,2.31927186745579e-90,-22.4246953554333
"ENSG00000286835.1","ENSG00000286835","lncRNA",0.553274546208074,2.10557805301802e-92,3.058223733103e-90,22.4061562193726
"ENSG00000289399.1","ENSG00000289399","lncRNA",-0.548071769997156,2.28935386899934e-90,3.28508488913038e-88,-22.1043772114917
"ENSG00000288886.1","ENSG00000288886","lncRNA",-0.547824178759083,2.85580192382581e-90,4.04911915628159e-88,-22.0901083524488
"ENSG00000245869.2","ENSG00000245869","lncRNA",-0.547110089168719,5.3975949141813e-90,7.56298299151756e-88,-22.0490012734918
"ENSG00000287325.1","ENSG00000287325","lncRNA",-0.54694572841809,6.24799994567481e-90,8.65275341313802e-88,-22.0395494660893
"ENSG00000272784.1","ENSG00000272784","lncRNA",-0.544893302527821,3.85683994872277e-89,5.27988089532048e-87,-21.9218268085823
"ENSG00000198491.3","ENSG00000198491","lncRNA",-0.544377972691251,6.07927703336677e-89,8.22774880311344e-87,-21.8923568959466
"ENSG00000237179.6","LINC01797","lncRNA",-0.54382272294165,9.91737455098812e-89,1.32714529103672e-86,-21.8606435252765
"ENSG00000277954.1","ENSG00000277954","lncRNA",-0.543242431919579,1.65235044902182e-88,2.18661042753888e-86,-21.8275434729152
"ENSG00000270100.1","ENSG00000270100","lncRNA",-0.543019575033095,2.00970097939868e-88,2.63027897413607e-86,-21.8148434216217
"ENSG00000277801.1","ENSG00000277801","lncRNA",-0.54241616073949,3.41223589531397e-88,4.41736190360754e-86,-21.7804891536789
"ENSG00000258537.5","FRMD6-AS2","lncRNA",-0.541209410463779,9.80448145733769e-88,1.25560617373002e-85,-21.7119281812408
"ENSG00000225670.4","CADM3-AS1","lncRNA",-0.541100071039203,1.07861228752973e-87,1.36662471749777e-85,-21.7057255041213
"ENSG00000265519.1","ENSG00000265519","lncRNA",-0.539781481374806,3.39957490396871e-87,4.26199337960709e-85,-21.6310459929235
"ENSG00000250241.7","PCDH10-DT","lncRNA",-0.539473680754272,4.4410531719105e-87,5.50968159140146e-85,-21.6136458355997
"ENSG00000259976.3","ENSG00000259976","lncRNA",-0.539361187286142,4.89636211538154e-87,6.01192503032929e-85,-21.6072895617965
"ENSG00000258376.2","PAPLN-AS1","lncRNA",-0.538830456570672,7.75598083326575e-87,9.4258909922648e-85,-21.5773234108329
"ENSG00000271930.1","ENSG00000271930","lncRNA",-0.538651160992825,9.05819655071524e-87,1.0897284941315e-84,-21.5672081995338
"ENSG00000257167.3","TMPO-AS1","lncRNA",0.537440833099254,2.5762926868229e-86,3.06836459000607e-84,21.4990336266829
"ENSG00000278041.1","ENSG00000278041","lncRNA",0.537002774804547,3.7570030247042e-86,4.43028772517099e-84,21.474405070847
"ENSG00000231367.6","LINC02613","lncRNA",-0.536269542253081,7.05590005065392e-86,8.23880094149884e-84,-21.4332357968572
"ENSG00000270607.1","NAV2-AS6","lncRNA",-0.533921902578351,5.25280435438319e-85,6.07387377288386e-83,-21.3018781601972
"ENSG00000268287.1","ENSG00000268287","lncRNA",-0.533468644482636,7.72551012047385e-85,8.84719476296573e-83,-21.2765966273303
"ENSG00000231881.2","ENSG00000231881","lncRNA",0.533202879291205,9.68372536747028e-85,1.09841113453877e-82,21.2617848707148
"ENSG00000268926.3","ENSG00000268926","lncRNA",-0.532851448984898,1.30511694887955e-84,1.46640970388259e-82,-21.2422122866327
"ENSG00000287271.1","ENSG00000287271","lncRNA",-0.532674303380211,1.51677995250632e-84,1.68830366676171e-82,-21.2323521474191
"ENSG00000245025.3","ENSG00000245025","lncRNA",-0.531885091384205,2.95974468013217e-84,3.26394066114575e-82,-21.1884709423699
"ENSG00000283757.1","ENSG00000283757","lncRNA",-0.531842878055929,3.06733960111346e-84,3.35156097699645e-82,-21.1861259991202
"ENSG00000281160.1","ENSG00000281160","lncRNA",-0.530387050664033,1.04770413568493e-83,1.13437784145523e-81,-21.1053894407865
"ENSG00000251359.4","WWC2-AS2","lncRNA",-0.529534080056711,2.14583610811523e-83,2.30242414843715e-81,-21.0582066569922
"ENSG00000271880.1","ENSG00000271880","lncRNA",-0.529406875865381,2.38755530469641e-83,2.5389092570477e-81,-21.051177866599
"ENSG00000230316.8","FEZF1-AS1","lncRNA",0.527922214770093,8.27084130497045e-83,8.71732034886709e-81,20.9692869949329
"ENSG00000197182.15","MIRLET7BHG","lncRNA",0.527898863803179,8.43364153178775e-83,8.81093602136773e-81,20.9680011379958
"ENSG00000279484.2","KLHL30-AS1","lncRNA",-0.52709594234795,1.64701314756678e-82,1.7057327467409e-80,-20.9238270781178
"ENSG00000277270.2","ENSG00000277270","lncRNA",-0.526685793006008,2.31676808156027e-82,2.3786817113261e-80,-20.9012919934652
"ENSG00000267414.1","SETBP1-DT","lncRNA",-0.525869664865993,4.56186891229879e-82,4.64374861072467e-80,-20.8565110154158
"ENSG00000237187.9","NR2F1-AS1","lncRNA",-0.525355015367318,6.98699730487348e-82,7.05213033059688e-80,-20.8283131405746
"ENSG00000223652.2","ENSG00000223652","lncRNA",-0.524271820510356,1.70976478259316e-81,1.71120155972139e-79,-20.7690674638478
"ENSG00000258498.9","DIO3OS","lncRNA",-0.523611821210232,2.94477822319397e-81,2.92269238652002e-79,-20.7330368158754
"ENSG00000259363.6","ENSG00000259363","lncRNA",-0.523358291711476,3.62756352649707e-81,3.57060178517191e-79,-20.7192098287758
"ENSG00000272221.1","ENSG00000272221","lncRNA",-0.521541627094246,1.60805703147373e-80,1.56983272498788e-78,-20.6203536707874
"ENSG00000259353.1","ENSG00000259353","lncRNA",-0.521232971695264,2.06911982824055e-80,2.00351358978414e-78,-20.6035961787661
"ENSG00000227619.3","ENSG00000227619","lncRNA",-0.520370582016807,4.17916669153271e-80,4.01402220130279e-78,-20.556834173758
"ENSG00000227954.7","TARID","lncRNA",-0.52007333948194,5.32250848973376e-80,5.07128608901833e-78,-20.5407365765883
"ENSG00000171889.6","MIR31HG","lncRNA",-0.519969182641673,5.79287492106526e-80,5.47564605634026e-78,-20.5350982343228
"ENSG00000237523.2","LINC00857","lncRNA",-0.519619508080497,7.6961024623467e-80,7.21736852964954e-78,-20.5161784119662
"ENSG00000258017.3","ENSG00000258017","lncRNA",0.518765418281665,1.53821668244221e-79,1.43126255374115e-77,20.4700255407481
"ENSG00000285347.1","ENSG00000285347","lncRNA",-0.518320168529993,2.20527058538357e-79,2.03602888929599e-77,-20.4459986392192
"ENSG00000248719.2","PRDM8-AS1","lncRNA",-0.517680999830272,3.69518861139588e-79,3.38536125859423e-77,-20.4115470674468
"ENSG00000284600.1","ENSG00000284600","lncRNA",-0.516840241346786,7.27424954720627e-79,6.61345893948295e-77,-20.3663007574842
"ENSG00000267698.2","ENSG00000267698","lncRNA",0.516622617742427,8.66548318139761e-79,7.81862914321557e-77,20.3546022277525
"ENSG00000260293.2","ENSG00000260293","lncRNA",0.516303892791196,1.11945688952398e-78,1.00246101911508e-76,20.3374786245888
"ENSG00000204044.6","SLC12A5-AS1","lncRNA",0.515440239106896,2.23755762293767e-78,1.98875457381997e-76,20.2911363999303
"ENSG00000172965.17","MIR4435-2HG","lncRNA",0.515086675066129,2.96929435203182e-78,2.61957746168141e-76,20.2721890542167
"ENSG00000285600.1","ENSG00000285600","lncRNA",0.51370803649181,8.92094618248713e-78,7.81238742892807e-76,20.1984426887511
"ENSG00000261655.1","ENSG00000261655","lncRNA",-0.513648971023343,9.35041081109206e-78,8.12871480000777e-76,-20.1952879084553
"ENSG00000289224.1","ENSG00000289224","lncRNA",-0.513555686700007,1.00709915444768e-77,8.69170357208106e-76,-20.1903062392359
"ENSG00000278126.1","ENSG00000278126","lncRNA",-0.513420380627007,1.12155302417751e-77,9.60985361003895e-76,-20.1830822074699
"ENSG00000272695.2","GAS6-DT","lncRNA",-0.513118217777979,1.42606587963383e-77,1.21317461617421e-75,-20.1669570199469
"ENSG00000235501.7","CNN3-DT","lncRNA",-0.510054220538086,1.60716489624887e-76,1.35754141236341e-74,-20.0040160996326
"ENSG00000273129.2","PACERR","lncRNA",-0.509885268244294,1.83549487744297e-76,1.53948901340463e-74,-19.9950614516402
"ENSG00000230838.2","LINC01614","lncRNA",0.508579497800611,5.11148915904019e-76,4.25719132057124e-74,19.9259595039209
"ENSG00000176912.6","TYMSOS","lncRNA",0.50827499026353,6.48629475113299e-76,5.36470628374958e-74,19.9098715454415
"ENSG00000237638.3","LINC02245","lncRNA",0.50786773114796,8.91640372188064e-76,7.32374953983437e-74,19.8883706781557
"ENSG00000288849.1","ENSG00000288849","lncRNA",-0.507428771100983,1.25582840840805e-75,1.02444632494109e-73,-19.8652163121765
"ENSG00000223814.1","ENSG00000223814","lncRNA",-0.506593716581748,2.40595832345742e-75,1.94931725390326e-73,-19.8212261218866
"ENSG00000276850.5","ENSG00000276850","lncRNA",-0.505280306390044,6.66515496393089e-75,5.36364835273087e-73,-19.752188127989
"ENSG00000275465.7","ENSG00000275465","lncRNA",-0.504453482209139,1.26299008904665e-74,1.00954442688226e-72,-19.7088216297405
"ENSG00000287061.1","ENSG00000287061","lncRNA",0.502682897657586,4.93491842429748e-74,3.9183252288922e-72,19.6161995944193
"ENSG00000287431.1","RENO1","lncRNA",0.502643727207041,5.08551293164199e-74,4.01115622621564e-72,19.6141542736559
"ENSG00000260806.1","PAPOLA-DT","lncRNA",0.501858513732546,9.2826923912896e-74,7.27347805133284e-72,19.5731876895062
"ENSG00000268658.5","LINC00664","lncRNA",0.501720061504052,1.0320097193969e-73,8.03348742354057e-72,19.5659710005071
"ENSG00000237807.4","ENSG00000237807","lncRNA",-0.500509228023691,2.60113289210247e-73,2.01165537304808e-71,-19.5029429447608
"ENSG00000255495.1","ENSG00000255495","lncRNA",-0.500277709498101,3.10273031474143e-73,2.38409793861745e-71,-19.4909090286087
"ENSG00000271858.5","CYB561D2","lncRNA",-0.500176196804868,3.35199798460625e-73,2.55912153824746e-71,-19.4856343404182
"ENSG00000272143.1","FGF14-AS2","lncRNA",-0.500144337990982,3.43426515351186e-73,2.60522917059403e-71,-19.4839791495461
"ENSG00000225914.4","TSBP1-AS1","lncRNA",-0.499661744731459,4.95685173017552e-73,3.73646228521459e-71,-19.4589194229197
"ENSG00000246465.1","ENSG00000246465","lncRNA",0.497738207893747,2.12768000512329e-72,1.59375275855462e-70,19.3592748361578
"ENSG00000259969.1","ENSG00000259969","lncRNA",-0.497657122676089,2.26197966755555e-72,1.68376111503666e-70,-19.3550827635632
"ENSG00000284646.1","ENSG00000284646","lncRNA",-0.49742092483946,2.70321953600124e-72,1.99971084930278e-70,-19.3428752749455
"ENSG00000228434.1","ENSG00000228434","lncRNA",0.495668305748623,1.00984315549826e-71,7.4242172728298e-70,19.2524721871926
"ENSG00000212719.14","LINC02693","lncRNA",-0.493820270299244,4.01970268612024e-71,2.93709564366209e-69,-19.1574850343342
"ENSG00000232316.2","LINC02518","lncRNA",-0.493745250668476,4.25079795540295e-71,3.08701241761275e-69,-19.1536363748048
"ENSG00000237343.1","ENSG00000237343","lncRNA",0.492982478544499,7.49829803345005e-71,5.41240785323576e-69,19.114536681386
"ENSG00000262772.2","LINC01977","lncRNA",0.492856925630148,8.23143942467488e-71,5.9058098522818e-69,19.1081064270248
"ENSG00000265840.1","ENSG00000265840","lncRNA",0.492731926090654,9.03220027085734e-71,6.44152725903658e-69,19.1017060801279
"ENSG00000258593.2","ENSG00000258593","lncRNA",0.492705912431299,9.20835366620176e-71,6.52806500978946e-69,19.100374300013
"ENSG00000267593.2","LINC01926","lncRNA",-0.492302972404785,1.24171721575956e-70,8.75080002348897e-69,-19.0797542480288
"ENSG00000258884.3","LINC02321","lncRNA",0.49167764593938,1.97324262486477e-70,1.38243056836114e-68,19.0477858396591
"ENSG00000234456.10","MAGI2-AS3","lncRNA",-0.491620440348109,2.05855188994032e-70,1.43376333387071e-68,-19.044863274776
"ENSG00000273218.1","ENSG00000273218","lncRNA",0.491535559117633,2.19194410492902e-70,1.51779385405259e-68,19.0405273938882
"ENSG00000272183.1","ENSG00000272183","lncRNA",0.489868510470463,7.4956210427313e-70,5.16028015138322e-68,18.9555162734238
"ENSG00000260772.1","ENSG00000260772","lncRNA",-0.489637445256855,8.88358544824562e-70,6.08066107405778e-68,-18.9437547494647
"ENSG00000233542.2","ENSG00000233542","lncRNA",0.488834288368905,1.60177818102273e-69,1.09012446491318e-67,18.902913801136
"ENSG00000255399.5","TBX5-AS1","lncRNA",-0.488694600830046,1.77443291016404e-69,1.1939828226019e-67,-18.8958170717954
"ENSG00000277022.1","ENSG00000277022","lncRNA",-0.488695878040567,1.77277324886819e-69,1.1939828226019e-67,-18.8958819509474
"ENSG00000224271.7","ENSG00000224271","lncRNA",0.488120172123406,2.70185500688828e-69,1.80781422090109e-67,18.8666536685007
"ENSG00000229178.1","ENSG00000229178","lncRNA",0.487841340036958,3.31263337657486e-69,2.20410410698361e-67,18.8525091393208
"ENSG00000263146.3","LINC01896","lncRNA",-0.487513404013573,4.20888841953452e-69,2.78488117092534e-67,-18.8358833668125
"ENSG00000240498.9","CDKN2B-AS1","lncRNA",0.485868468952856,1.3934825988005e-68,9.16926947608506e-67,18.7526455003479
"ENSG00000274993.1","ENSG00000274993","lncRNA",-0.485092726847661,2.44521725872187e-68,1.60013942589986e-66,-18.7134816399365
"ENSG00000262703.1","ENSG00000262703","lncRNA",0.485021025484485,2.57548180664023e-68,1.67617422497733e-66,18.7098646690005
