"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000630866.1","SPTAN1-223","ENSP00000487444.1","ENSG00000197694.18","SPTAN1",-0.827447187373265,-49.7081930483477,1.10966718731148e-282,1.79560702812583e-287,-0.341484601689263,"protein_coding"
"ENST00000393565.6","DBN1-203","ENSP00000377195.1","ENSG00000113758.14","DBN1",-0.736009511074189,-36.6762029522725,3.0598131489094e-190,4.95958043424816e-195,-0.0656363587661356,"protein_coding"
"ENST00000645440.1","RPS24-216","ENSP00000496738.1","ENSG00000138326.21","RPS24",-0.730161836058566,-36.0491650263831,1.1731145868156e-185,1.90190591400204e-190,0.0369240932690389,"protein_coding"
"ENST00000532375.5","TSPAN4-220","ENSP00000434818.1","ENSG00000214063.12","TSPAN4",-0.717475041591543,-34.7459589324208,4.08764109896596e-176,6.63125969138892e-181,-0.340184633971014,"protein_coding"
"ENST00000598334.5","DTNA-230","ENSP00000470152.1","ENSG00000134769.23","DTNA",-0.677990838489531,-31.1147309337262,1.63493265676726e-149,2.65704455692528e-154,-0.341369098605361,"protein_coding"
"ENST00000271643.9","ADAMTSL4-201","ENSP00000271643.4","ENSG00000143382.16","ADAMTSL4",-0.65702698029218,-29.4008283394804,5.07793267583216e-137,8.26298154039144e-142,-0.310572558822901,"protein_coding"
"ENST00000449352.7","FHIP1B-202","ENSP00000416918.3","ENSG00000051009.11","FHIP1B",-0.650673246108012,-28.9059735431927,1.97813174120818e-133,3.22097850849672e-138,-0.162782650617871,"protein_coding"
"ENST00000545578.5","INTS11-248","ENSP00000444672.1","ENSG00000127054.22","INTS11",-0.644416010796537,-28.4289294605188,5.60873956874328e-130,9.13773145771143e-135,-0.209572300879782,"protein_coding"
"ENST00000650810.1","MXI1-214","ENSP00000498390.1","ENSG00000119950.21","MXI1",-0.643794208960731,-28.3820647113942,1.22330138853353e-129,1.99315908518701e-134,-0.290384543886778,"protein_coding"
"ENST00000621128.4","NCAM1-228","ENSP00000481083.1","ENSG00000149294.17","NCAM1",-0.643441396250337,-28.3555162015662,1.90261294219059e-129,3.10008137485635e-134,-0.341508216337819,"protein_coding"
"ENST00000681241.1","DTNA-245","ENSP00000506495.1","ENSG00000134769.23","DTNA",-0.635004023076661,-27.7296351998876,6.19737262170841e-125,1.0105620163892e-129,-0.341369098605361,"protein_coding"
"ENST00000291839.10","ST6GALNAC6-201","ENSP00000291839.6","ENSG00000160408.16","ST6GALNAC6",-0.633646978953818,-27.6305483591761,3.19843853334244e-124,5.21623454073493e-129,-0.381966032887499,"protein_coding"
