"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000347557.6","SMTN-202","ENSP00000328635.5","ENSG00000183963.19","SMTN",-0.882990631685244,-63.4589423872846,0,0,-0.669306758686589,"protein_coding"
"ENST00000274629.9","KCNMB1-201","ENSP00000274629.3","ENSG00000145936.9","KCNMB1",-0.864419802807816,-57.9997143081291,0,0,-0.862099906591306,"protein_coding"
"ENST00000452625.7","MYH11-203","ENSP00000407821.2","ENSG00000133392.18","MYH11",-0.864117391504299,-57.9195675006479,0,0,-0.849283518171594,"protein_coding"
"ENST00000345517.8","ACTG2-201","ENSP00000295137.3","ENSG00000163017.14","ACTG2",-0.860031414430347,-56.8604142701259,0,0,-0.862668236399209,"protein_coding"
"ENST00000457907.3","OSR2-203","ENSP00000414657.2","ENSG00000164920.10","OSR2",-0.855502065534761,-55.7353397535203,0,0,-0.778792029011958,"protein_coding"
"ENST00000262426.6","FOXF1-201","ENSP00000262426.4","ENSG00000103241.7","FOXF1",-0.851872325543891,-54.8683648211144,3.90888928888927e-317,6.32404026676796e-322,-0.851872325543891,"protein_coding"
"ENST00000622030.2","SRD5A2-201","ENSP00000477587.1","ENSG00000277893.2","SRD5A2",-0.849926687650849,-54.4156228265649,3.65499665696301e-314,5.91337290194471e-319,-0.849926687650849,"protein_coding"
"ENST00000252456.7","CNN1-201","ENSP00000252456.1","ENSG00000130176.8","CNN1",-0.849074770960444,-54.2199246041357,7.05194556066954e-313,1.14094381967861e-317,-0.849534764344998,"protein_coding"
"ENST00000425538.6","MYOCD-203","ENSP00000401678.1","ENSG00000141052.18","MYOCD",-0.847122521142144,-53.7771461185984,5.81070496912032e-310,9.40137034497763e-315,-0.842273137842249,"protein_coding"
"ENST00000372980.4","JPH2-202","ENSP00000362071.3","ENSG00000149596.7","JPH2",-0.844243641120279,-53.1382060877123,9.78238946215437e-306,1.58275725045374e-310,-0.842883411093791,"protein_coding"
"ENST00000375142.5","CAPZB-203","ENSP00000364284.1","ENSG00000077549.19","CAPZB",-0.841636035082836,-52.5733156293908,5.55844388035408e-302,8.99351813017406e-307,-0.613527472599011,"protein_coding"
"ENST00000373960.4","DES-201","ENSP00000363071.3","ENSG00000175084.13","DES",-0.840391256367938,-52.3081350244444,3.2604866087838e-300,5.27552684095496e-305,-0.836258158032984,"protein_coding"
