"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000530374.6","CYHR1-209","ENSP00000433769.1","ENSG00000187954.13","CYHR1",0.582497606969351,24.1748763275219,9.41592433902259e-100,1.54488577975399e-104,0.0106986153669356,"protein_coding"
"ENST00000550845.5","DYNLL1-209","ENSP00000447494.1","ENSG00000088986.11","DYNLL1",0.557478656899838,22.6527646628609,2.72126814227378e-89,4.48181452332715e-94,0.189474800455618,"protein_coding"
"ENST00000229758.8","FBXO5-201","ENSP00000229758.3","ENSG00000112029.10","FBXO5",0.55429414598449,22.4657358502904,5.04857333161876e-88,8.31917300797343e-93,0.37393759281205,"protein_coding"
"ENST00000346618.8","E2F3-201","ENSP00000262904.4","ENSG00000112242.16","E2F3",0.545403044468264,21.9510119261813,1.48870816216262e-84,2.45706012999491e-89,0.367442366805249,"protein_coding"
"ENST00000446531.1","H2AZ2-207","ENSP00000406901.1","ENSG00000105968.19","H2AZ2",0.540496320389747,21.671503549807,1.10499510971703e-82,1.82565361946442e-87,0.123950317401606,"protein_coding"
"ENST00000599988.5","FCGRT-217","ENSP00000471300.1","ENSG00000104870.13","FCGRT",0.524003944631224,20.7544373848778,1.28656119727539e-76,2.13222161002898e-81,-0.29080100677172,"protein_coding"
"ENST00000470753.1","NDUFA6-201","ENSP00000473478.1","ENSG00000184983.11","NDUFA6",0.518972138941196,20.4811884997484,7.84239870462392e-75,1.30108147598114e-79,0.072679413087615,"protein_coding"
"ENST00000527954.1","EXOSC4-203","ENSP00000436539.1","ENSG00000178896.9","EXOSC4",0.516895237648092,20.3692579798701,4.19311124951084e-74,6.95940523727546e-79,0.156529345977609,"protein_coding"
"ENST00000429568.1","POLR2H-202","ENSP00000415536.1","ENSG00000163882.10","POLR2H",0.516667439480636,20.3570112156752,5.03591995688351e-74,8.35878957771094e-79,0.338920818356858,"protein_coding"
"ENST00000392369.6","RAN-202","ENSP00000376176.2","ENSG00000132341.12","RAN",0.509526545846158,19.9760591534695,1.46332055179792e-71,2.43298786565453e-76,0.262637885938666,"protein_coding"
