"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000217026.5","MYBL2-201","ENSP00000217026.4","ENSG00000101057.16","MYBL2",0.706916426889958,33.7161002839956,1.44770196264992e-168,2.34936460403097e-173,0.720402241785804,"protein_coding"
"ENST00000356455.9","UBE2C-204","ENSP00000348838.4","ENSG00000175063.17","UBE2C",0.706188308924408,33.6467899681138,4.66445641023471e-168,7.57032607357739e-173,0.720445692243951,"protein_coding"
"ENST00000361170.7","IQGAP3-201","ENSP00000354451.2","ENSG00000183856.11","IQGAP3",0.701397970249828,33.1960418056779,9.40531483783937e-165,1.52671290282272e-169,0.705873270897783,"protein_coding"
"ENST00000300403.11","TPX2-201","ENSP00000300403.6","ENSG00000088325.16","TPX2",0.698833599728271,32.9584082239764,5.19165680210668e-163,8.42828793484639e-168,0.702631356974327,"protein_coding"
"ENST00000262293.9","PRR11-201","ENSP00000262293.5","ENSG00000068489.13","PRR11",0.696783685138647,32.7702369685077,1.24304762393927e-161,2.01813102565067e-166,0.697618819410668,"protein_coding"
"ENST00000587309.5","KIF18B-202","ENSP00000465377.1","ENSG00000186185.14","KIF18B",0.690869231190434,32.2359782876311,1.02086824190399e-157,1.6576572897686e-162,0.720455969166855,"protein_coding"
"ENST00000310955.11","CDC20-201","ENSP00000308450.5","ENSG00000117399.14","CDC20",0.686966113001072,31.8902254230154,3.47349397305122e-155,5.64171968076147e-160,0.699599963698956,"protein_coding"
"ENST00000350051.8","BIRC5-202","ENSP00000324180.4","ENSG00000089685.15","BIRC5",0.684363396104183,31.6625818432199,1.61030848056857e-153,2.61596322200329e-158,0.716203157256532,"protein_coding"
"ENST00000275517.8","CDCA5-201","ENSP00000275517.3","ENSG00000146670.10","CDCA5",0.682810126904741,31.5278147181244,1.55940322367609e-152,2.53343171523092e-157,0.688319958938965,"protein_coding"
"ENST00000264233.6","POLQ-201","ENSP00000264233.5","ENSG00000051341.15","POLQ",0.680233830480009,31.3060474070714,6.53020576942958e-151,1.06108018286882e-155,0.680768148443321,"protein_coding"
"ENST00000285116.8","SKA1-201","ENSP00000285116.3","ENSG00000154839.10","SKA1",0.678189372666285,31.1315996497708,1.23088876099612e-149,2.00033926121514e-154,0.680704650174245,"protein_coding"
"ENST00000361729.3","E2F2-201","ENSP00000355249.2","ENSG00000007968.7","E2F2",0.673204420653491,30.7118163386627,1.43434413762886e-146,2.33181190276509e-151,0.673200247317342,"protein_coding"
"ENST00000368653.7","MKI67-201","ENSP00000357642.3","ENSG00000148773.14","MKI67",0.670508261664103,30.4879824454341,6.16899123696619e-145,1.00302276875751e-149,0.678037470565704,"protein_coding"
"ENST00000251496.7","NCAPG-201","ENSP00000251496.2","ENSG00000109805.10","NCAPG",0.668568426173979,30.3282983373192,9.01359520784557e-144,1.46562523704806e-148,0.700376878357288,"protein_coding"
"ENST00000374403.4","KIF4A-201","ENSP00000363524.3","ENSG00000090889.12","KIF4A",0.667438788754755,30.2358252612013,4.25676660358272e-143,6.92179681222596e-148,0.667750387123262,"protein_coding"
"ENST00000646651.1","UBE2T-205","ENSP00000494957.1","ENSG00000077152.11","UBE2T",0.664332995532368,29.9835130551739,2.93355020561195e-141,4.77108643530551e-146,0.698296771356906,"protein_coding"
"ENST00000318121.8","CLSPN-202","ENSP00000312995.3","ENSG00000092853.14","CLSPN",0.663439308955677,29.9114285818838,9.82351095597567e-141,1.5977864994593e-145,0.663569152991433,"protein_coding"
"ENST00000352433.10","PTTG1-201","ENSP00000344936.5","ENSG00000164611.13","PTTG1",0.662657013370581,29.8485166072878,2.81990062446118e-140,4.58677048172739e-145,0.709444426206648,"protein_coding"
"ENST00000592540.6","SPC24-206","ENSP00000465075.1","ENSG00000161888.12","SPC24",0.662347330874336,29.8236602186626,4.27698961902928e-140,6.95705649109306e-145,0.672478507117582,"protein_coding"
"ENST00000551245.5","TROAP-215","ENSP00000447509.1","ENSG00000135451.13","TROAP",0.662158788569338,29.8085403815147,5.51017918950505e-140,8.96328457015868e-145,0.702741377762097,"protein_coding"
"ENST00000366955.8","CENPF-201","ENSP00000355922.3","ENSG00000117724.14","CENPF",0.660747838196305,29.6957106007297,3.64826667128391e-139,5.93503606846252e-144,0.665378233860607,"protein_coding"
"ENST00000247191.7","DLGAP5-201","ENSP00000247191.2","ENSG00000126787.13","DLGAP5",0.659701105117627,29.6123675811049,1.47305283307094e-138,2.39653277107823e-143,0.682519583030252,"protein_coding"
"ENST00000454366.2","GTSE1-201","ENSP00000415430.1","ENSG00000075218.19","GTSE1",0.658674666132982,29.5309367492036,5.75757925446583e-138,9.36755325068062e-143,0.665979831405866,"protein_coding"
"ENST00000423485.6","TOP2A-201","ENSP00000411532.1","ENSG00000131747.15","TOP2A",0.658466541389527,29.5144610992647,7.58553711979665e-138,1.23420333541541e-142,0.671699480194048,"protein_coding"
"ENST00000302450.11","CKAP2L-201","ENSP00000305204.6","ENSG00000169607.13","CKAP2L",0.655626542055201,29.2908268960507,3.19588548403967e-136,5.20104396315471e-141,0.659613994402906,"protein_coding"
"ENST00000310942.9","CBX2-202","ENSP00000308750.4","ENSG00000173894.11","CBX2",0.65528360296821,29.263970775195,5.00687618490101e-136,8.14868202737616e-141,0.659973868659167,"protein_coding"
"ENST00000593135.6","KIF18B-204","ENSP00000465992.1","ENSG00000186185.14","KIF18B",0.652976103377884,29.0840873529916,1.01136587063578e-134,1.64639807035078e-139,0.720455969166855,"protein_coding"
"ENST00000400889.3","FAM72D-201","ENSP00000383682.1","ENSG00000215784.6","FAM72D",0.652935165793467,29.08090883955,1.0664754540422e-134,1.73616724574243e-139,0.652935165793467,"protein_coding"
"ENST00000323760.11","CDC25C-201","ENSP00000321656.6","ENSG00000158402.21","CDC25C",0.651432127131348,28.9645150492585,7.44674595231819e-134,1.21241040561342e-138,0.666855508939489,"protein_coding"
"ENST00000366999.9","NEK2-202","ENSP00000355966.4","ENSG00000117650.13","NEK2",0.650648323756468,28.9040535380667,2.04247167486491e-133,3.32585109565706e-138,0.664257107057536,"protein_coding"
"ENST00000166345.8","TRIP13-201","ENSP00000166345.3","ENSG00000071539.14","TRIP13",0.650477258852055,28.8908791556479,2.54458910694326e-133,4.14360707855929e-138,0.656376224701915,"protein_coding"
"ENST00000378714.8","MCM10-202","ENSP00000367986.3","ENSG00000065328.17","MCM10",0.649094080021958,28.7846342437175,1.49723667114837e-132,2.43837706813734e-137,0.659247788023539,"protein_coding"
"ENST00000682095.1","CENPI-206","ENSP00000507927.1","ENSG00000102384.14","CENPI",0.643436386205467,28.3551394271123,1.91454511469499e-129,3.11957425975198e-134,0.661948520812658,"protein_coding"
"ENST00000366425.4","GP1BB-201","ENSP00000383382.2","ENSG00000203618.6","GP1BB",0.641267254799453,28.1925936716999,2.85644352970277e-128,4.65506914654472e-133,0.641267254799453,"protein_coding"
"ENST00000282074.7","SPC25-201","ENSP00000282074.2","ENSG00000152253.9","SPC25",0.639812165890481,28.0841997239686,1.72932965223558e-127,2.81865540761752e-132,0.644986807654519,"protein_coding"
"ENST00000209728.9","CDC6-201","ENSP00000209728.4","ENSG00000094804.12","CDC6",0.639527506945533,28.063054589065,2.45686231893007e-127,4.00453500933967e-132,0.636526044549392,"protein_coding"
"ENST00000372224.9","KIF2C-202","ENSP00000361298.4","ENSG00000142945.13","KIF2C",0.639284036025471,28.0449844953174,3.31656609416588e-127,5.40588758808476e-132,0.648566856813548,"protein_coding"
"ENST00000371485.8","CEP55-201","ENSP00000360540.3","ENSG00000138180.16","CEP55",0.634484190316488,27.6916281320873,1.16317796274326e-124,1.89683631118238e-129,0.636511418699327,"protein_coding"
"ENST00000257909.8","TROAP-201","ENSP00000257909.3","ENSG00000135451.13","TROAP",0.633661518175166,27.6316076990527,3.14287566653822e-124,5.12553518793538e-129,0.702741377762097,"protein_coding"
"ENST00000303383.8","SHCBP1-201","ENSP00000306473.3","ENSG00000171241.9","SHCBP1",0.632886345110974,27.5751960465629,7.99583858312352e-124,1.30414421280415e-128,0.641602174498219,"protein_coding"
"ENST00000301905.9","PBK-201","ENSP00000301905.4","ENSG00000168078.10","PBK",0.632742688467847,27.5647569402775,9.50372438869208e-124,1.55010999652456e-128,0.6362899515299,"protein_coding"
"ENST00000395284.8","CDK1-203","ENSP00000378699.3","ENSG00000170312.17","CDK1",0.630761137451323,27.4212456804476,1.02047969328048e-122,1.66478464759125e-127,0.671337385318787,"protein_coding"
"ENST00000256442.10","CCNB1-201","ENSP00000256442.5","ENSG00000134057.15","CCNB1",0.629754237934755,27.348664414149,3.38660685904293e-122,5.52554553604655e-127,0.648014287361586,"protein_coding"
"ENST00000265036.10","DEPDC1B-201","ENSP00000265036.5","ENSG00000035499.13","DEPDC1B",0.629464132103928,27.3277949108503,4.78080499267578e-122,7.8006836566903e-127,0.640415604997366,"protein_coding"
"ENST00000262460.5","GINS1-201","ENSP00000262460.4","ENSG00000101003.10","GINS1",0.629063316523792,27.2989923514321,7.69352909391504e-122,1.2553895133991e-126,0.630514785042917,"protein_coding"
"ENST00000263382.8","ASF1B-201","ENSP00000263382.3","ENSG00000105011.9","ASF1B",0.624490738102684,26.9729337859547,1.66746320871277e-119,2.72216669449476e-124,0.628849184703045,"protein_coding"
"ENST00000335756.9","CENPA-202","ENSP00000336868.4","ENSG00000115163.15","CENPA",0.623462899632386,26.9002722246309,5.51817855859949e-119,9.00941820862298e-124,0.689684377848868,"protein_coding"
"ENST00000367900.7","NUF2-202","ENSP00000356875.3","ENSG00000143228.13","NUF2",0.621856094697636,26.7871379981666,3.55155032731863e-118,5.79939635421069e-123,0.691456990964346,"protein_coding"
"ENST00000302759.11","BUB1-201","ENSP00000302530.6","ENSG00000169679.15","BUB1",0.62120030461594,26.7411230343341,7.56961429080411e-118,1.23617831446649e-122,0.678312464001072,"protein_coding"
"ENST00000288207.7","CCNB2-201","ENSP00000288207.2","ENSG00000157456.8","CCNB2",0.620380134320482,26.6837026748897,1.9454615994067e-117,3.17740510780476e-122,0.624993706011138,"protein_coding"
"ENST00000395915.8","AURKA-208","ENSP00000379251.3","ENSG00000087586.18","AURKA",0.620002888482482,26.6573394150013,3.00040383073694e-117,4.90053871024882e-122,0.699808016532642,"protein_coding"
"ENST00000219097.7","ORC6-201","ENSP00000219097.2","ENSG00000091651.9","ORC6",0.619145780982306,26.5975532562723,8.01170796400798e-117,1.3086321851635e-121,0.671617038992924,"protein_coding"
"ENST00000287598.11","BUB1B-201","ENSP00000287598.7","ENSG00000156970.13","BUB1B",0.618428667391386,26.5476506248232,1.81798215477412e-116,2.96963713026041e-121,0.650785445560087,"protein_coding"
"ENST00000612220.5","TACC3-211","ENSP00000478580.2","ENSG00000013810.21","TACC3",0.617230204053568,26.4644912051962,7.11606545205506e-116,1.16256583108235e-120,0.670009995244791,"protein_coding"
"ENST00000538862.7","CDCA3-207","ENSP00000442068.1","ENSG00000111665.12","CDCA3",0.616412246971187,26.4079055019341,1.79988458512008e-115,2.94089177660873e-120,0.467757717972453,"protein_coding"
"ENST00000300093.9","PLK1-201","ENSP00000300093.4","ENSG00000166851.15","PLK1",0.616041601542396,26.3823099459293,2.73825598664089e-115,4.47434759823019e-120,0.591563378150778,"protein_coding"
"ENST00000338165.9","EME1-201","ENSP00000339897.4","ENSG00000154920.15","EME1",0.615030810631105,26.3126513675855,8.57475970555747e-115,1.4012419037091e-119,0.722321648358398,"protein_coding"
"ENST00000428849.7","KIFC1-211","ENSP00000393963.2","ENSG00000237649.8","KIFC1",0.610922354195577,26.0316504461902,8.50672243933221e-113,1.39073723402034e-117,0.6432217017745,"protein_coding"
"ENST00000264596.4","NEIL3-201","ENSP00000264596.3","ENSG00000109674.4","NEIL3",0.610620863890367,26.0111630484913,1.18884796515614e-112,1.94364183558863e-117,0.617973841907577,"protein_coding"
"ENST00000321765.10","SPAG5-201","ENSP00000323300.5","ENSG00000076382.17","SPAG5",0.610605730464852,26.0101351510638,1.20896032637377e-112,1.97655575308391e-117,0.664036148287012,"protein_coding"
"ENST00000585124.6","AURKB-214","ENSP00000463999.1","ENSG00000178999.13","AURKB",0.610116377108626,25.9769215965472,2.07975784700293e-112,3.40029731051424e-117,0.655641923536765,"protein_coding"
"ENST00000543469.1","TRIM59-208","ENSP00000444313.1","ENSG00000213186.8","TRIM59",0.608202022952325,25.8474434997871,1.72056919066063e-111,2.81364031767368e-116,0.618070369755624,"protein_coding"
"ENST00000263181.7","KIF18A-201","ENSP00000263181.6","ENSG00000121621.7","KIF18A",0.604704223874494,25.6127109558619,7.87556649223801e-110,1.28837300291814e-114,0.603749069244784,"protein_coding"
"ENST00000274026.10","CCNA2-201","ENSP00000274026.5","ENSG00000145386.11","CCNA2",0.603930933534227,25.5611336959333,1.82227650035895e-109,2.98142455188716e-114,0.603930933534227,"protein_coding"
"ENST00000366991.5","DTL-201","ENSP00000355958.4","ENSG00000143476.18","DTL",0.602372764813198,25.4575508401017,9.81139960123916e-109,1.60553094440176e-113,0.608088277397914,"protein_coding"
"ENST00000369390.7","FAM72B-202","ENSP00000358397.3","ENSG00000188610.12","FAM72B",0.601675965240617,25.4113775561625,2.07674040612115e-108,3.39858672817915e-113,0.659919627534574,"protein_coding"
"ENST00000314355.7","CKS2-201","ENSP00000364976.3","ENSG00000123975.5","CKS2",0.600742980723572,25.3496958504662,5.65119587322862e-108,9.24939584475535e-113,0.600742980723572,"protein_coding"
"ENST00000371975.9","RAD54L-201","ENSP00000361043.4","ENSG00000085999.13","RAD54L",0.598988254205715,25.2341252149635,3.68105781022459e-107,6.02592664597147e-112,0.618745532076514,"protein_coding"
"ENST00000257934.9","ESPL1-201","ENSP00000257934.4","ENSG00000135476.12","ESPL1",0.598041757500247,25.1720223734184,1.00661396032564e-106,1.64799849433644e-111,0.673752299375953,"protein_coding"
"ENST00000265148.9","CENPE-201","ENSP00000265148.3","ENSG00000138778.14","CENPE",0.597710629085691,25.1503346858268,1.43006888509735e-106,2.34138132404032e-111,0.634980337792909,"protein_coding"
"ENST00000240423.9","NCAPH-201","ENSP00000240423.4","ENSG00000121152.10","NCAPH",0.597693073682011,25.1491854311152,1.45690344363192e-106,2.38535527879877e-111,0.64481400954332,"protein_coding"
"ENST00000300035.9","PCLAF-201","ENSP00000300035.4","ENSG00000166803.14","PCLAF",0.59694019164785,25.0999513103032,3.23177749805429e-106,5.29226983600415e-111,0.612657592617822,"protein_coding"
"ENST00000343380.6","E2F1-201","ENSP00000345571.5","ENSG00000101412.13","E2F1",0.595759740357721,25.0229638501288,1.12243930296391e-105,1.83837674096553e-110,0.595759740357721,"protein_coding"
"ENST00000412997.6","SGO1-203","ENSP00000410458.1","ENSG00000129810.15","SGO1",0.58606975794561,24.4003312300931,2.5420452328711e-101,4.16899587186732e-106,0.633901942579069,"protein_coding"
"ENST00000411486.7","HJURP-202","ENSP00000414109.1","ENSG00000123485.12","HJURP",0.585787844471415,24.3824602272601,3.38604999601609e-101,5.55335967726058e-106,0.699007608362233,"protein_coding"
"ENST00000584486.6","FAM72C-202","ENSP00000463032.1","ENSG00000263513.6","FAM72C",0.583128983476779,24.214569831912,4.98904629732561e-100,8.18493666916955e-105,0.589554846952974,"protein_coding"
"ENST00000530374.6","CYHR1-209","ENSP00000433769.1","ENSG00000187954.13","CYHR1",0.582497606969351,24.1748763275219,9.41592433902259e-100,1.54488577975399e-104,0.0106986153669356,"protein_coding"
"ENST00000409248.10","C4orf48-201","ENSP00000386807.5","ENSG00000243449.8","C4orf48",0.582229590182067,24.1580466340469,1.23244989815682e-99,2.02219981320647e-104,0.577434459222372,"protein_coding"
"ENST00000372568.4","UBE2C-205","ENSP00000361649.4","ENSG00000175063.17","UBE2C",0.580555823639,24.0532138675676,6.58297789114353e-99,1.08039879390516e-103,0.720445692243951,"protein_coding"
"ENST00000494554.2","KIFC1-214","ENSP00000484508.1","ENSG00000237649.8","KIFC1",0.580543218068821,24.0524260957822,6.66622875439358e-99,1.09407988747638e-103,0.6432217017745,"protein_coding"
"ENST00000374298.4","AUNIP-201","ENSP00000363416.4","ENSG00000127423.11","AUNIP",0.579870917195673,24.0104491096796,1.30308127242207e-98,2.13879340908983e-103,0.587818657203978,"protein_coding"
"ENST00000220514.8","OIP5-201","ENSP00000220514.3","ENSG00000104147.9","OIP5",0.579647650067255,23.9965251625493,1.62731756408796e-98,2.67114927955084e-103,0.580740661434821,"protein_coding"
"ENST00000334463.4","ERCC6L-201","ENSP00000334675.3","ENSG00000186871.7","ERCC6L",0.579211539667842,23.9693508129457,2.51057672108846e-98,4.1213072230879e-103,0.58934035708452,"protein_coding"
"ENST00000301019.9","CDT1-201","ENSP00000301019.4","ENSG00000167513.9","CDT1",0.577254703781574,23.8477990688239,1.74283321197117e-97,2.86165412536521e-102,0.576554506996997,"protein_coding"
"ENST00000394249.8","PRC1-202","ENSP00000377793.3","ENSG00000198901.14","PRC1",0.574549387450133,23.6807676541282,2.48446301992524e-96,4.08105230120116e-101,0.653993150711102,"protein_coding"
"ENST00000578845.2","CDKN2A-212","ENSP00000467390.1","ENSG00000147889.18","CDKN2A",0.569946970553378,23.3992578608079,2.15702729849575e-94,3.54593430733631e-99,0.563643201726736,"protein_coding"
"ENST00000335183.11","CDKN3-202","ENSP00000335357.6","ENSG00000100526.21","CDKN3",0.568489169881901,23.3107750949603,8.74114407048953e-94,1.43721540126431e-98,0.683832200541936,"protein_coding"
"ENST00000369798.7","TTK-202","ENSP00000358813.2","ENSG00000112742.10","TTK",0.566859858364724,23.2122661036205,4.14185177747947e-93,6.81135998138316e-98,0.584491090401359,"protein_coding"
"ENST00000361627.8","ARHGAP11A-201","ENSP00000355090.3","ENSG00000198826.11","ARHGAP11A",0.5655913919437,23.1358520548338,1.38225143404766e-92,2.27347725134897e-97,0.597078326791103,"protein_coding"
"ENST00000281453.10","CENPU-201","ENSP00000281453.5","ENSG00000151725.12","CENPU",0.564139915781161,23.048709364095,5.45425855071511e-92,8.97200051111184e-97,0.619624200360628,"protein_coding"
"ENST00000301634.12","TK1-201","ENSP00000301634.6","ENSG00000167900.12","TK1",0.563880355646548,23.0331591918065,6.96643901490528e-92,1.14602207917768e-96,0.570875192838807,"protein_coding"
"ENST00000373055.6","CDCA8-202","ENSP00000362146.1","ENSG00000134690.11","CDCA8",0.563438401588498,23.0067048714152,1.05623858908062e-91,1.73772039728315e-96,0.672384929130646,"protein_coding"
"ENST00000455785.7","STMN1-206","ENSP00000387858.2","ENSG00000117632.23","STMN1",0.562474733314546,22.9491222177703,2.61175228162378e-91,4.29769508749861e-96,0.580836268112435,"protein_coding"
"ENST00000541717.4","MELK-209","ENSP00000437804.1","ENSG00000165304.8","MELK",0.561550971854261,22.8940525774252,6.20364671535576e-91,1.02092433396787e-95,0.681126491369722,"protein_coding"
"ENST00000240488.8","MND1-201","ENSP00000240488.3","ENSG00000121211.8","MND1",0.560779574350932,22.8481618744581,1.27492972165081e-90,2.09830434768072e-95,0.593711257325644,"protein_coding"
"ENST00000305188.13","ESCO2-201","ENSP00000306999.8","ENSG00000171320.15","ESCO2",0.559820529225861,22.791228935095,3.11352923293525e-90,5.12515100071646e-95,0.570630817135393,"protein_coding"
"ENST00000280614.4","NOCT-201","ENSP00000280614.2","ENSG00000151014.6","NOCT",0.558575291703239,22.7175053582119,9.8814061316398e-90,1.62702420951374e-94,0.553304622635068,"protein_coding"
"ENST00000394894.8","KIF20A-201","ENSP00000378356.3","ENSG00000112984.12","KIF20A",0.558494848497528,22.7127504589552,1.06448784937312e-89,1.75279157164071e-94,0.672451920169967,"protein_coding"
"ENST00000367409.9","ASPM-203","ENSP00000356379.4","ENSG00000066279.19","ASPM",0.557672178540157,22.6641768313866,2.27636025497416e-89,3.74900814403097e-94,0.662129643158961,"protein_coding"
"ENST00000550845.5","DYNLL1-209","ENSP00000447494.1","ENSG00000088986.11","DYNLL1",0.557478656899838,22.6527646628609,2.72126814227378e-89,4.48181452332715e-94,0.189474800455618,"protein_coding"
