"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000156575.2",24.8739437286568,-5.78268684590017,0.802652449997082,-7.20447168126278,5.82693307396476e-13,1.12891032287105e-11,"PRG3"
"ENSG00000186652.10",112.260019234024,-5.30049032729584,0.499800513817795,-10.605211841035,2.81824587714331e-26,9.57417111007196e-24,"PRG2"
"ENSG00000168484.13",25.0772277976251,-5.23157021764187,0.570958015337283,-9.16279319513785,5.05710617733436e-20,4.38422593700299e-18,"SFTPC"
"ENSG00000109061.10",49.5628422656778,-5.14550198291874,0.547357698632502,-9.40062046404769,5.42422520588079e-21,5.91321506026169e-19,"MYH1"
"ENSG00000168878.19",73.2940440354345,-5.03217700804066,0.36130955836322,-13.9276055436703,4.30549175426445e-44,1.2578924709259e-39,"SFTPB"
"ENSG00000256813.1",11.2326559694435,-4.85364077861446,0.626212430529516,-7.75078957552838,9.13229100710752e-15,2.60301477135272e-13,"ENSG00000256813"
"ENSG00000262791.1",6.34903312847285,-4.51063692470365,0.637633149282052,-7.0740314078439,1.5049620040298e-12,2.63761067244959e-11,"ENSG00000262791"
"ENSG00000164265.9",8.08172058018179,-4.38900840895995,0.479029222176979,-9.16229784273663,5.08037944319785e-20,4.39137176959966e-18,"SCGB3A2"
"ENSG00000168530.16",64.0321737756139,-4.26853910742516,0.598743140665756,-7.12916577662814,1.00979056855948e-12,1.86132752372453e-11,"MYL1"
"ENSG00000111245.17",107.508925767123,-4.01370156628512,0.665020543859527,-6.03545499961718,1.58515400412937e-09,1.37342406241529e-08,"MYL2"
"ENSG00000268854.1",24.5276505589709,-3.88218696883319,0.448976839354929,-8.64674216694775,5.29905154527927e-18,2.95209447072258e-16,"ENSG00000268854"
"ENSG00000167941.3",175.784143948919,-3.87048915790634,0.584783541552364,-6.61866978614302,3.62445459050755e-11,4.63219883273266e-10,"SOST"
