"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000289282.1",5.08670241036711,-5.41735980463272,1.31184496018714,-4.12957321104463,3.63437261301602e-05,0.00010978600387663,"ENSG00000289282"
"ENSG00000280650.1",4.38736302701374,-4.50682726485856,0.555279651073351,-8.11631986900097,4.80533102869433e-16,7.53365131392953e-15,"KCNIP4-IT1"
"ENSG00000197309.4",13.010992604337,-4.41413111880241,0.557082506262348,-7.9236577511979,2.30623849576721e-15,3.20062763370999e-14,"OR10D3"
"ENSG00000228810.1",3.88773742793088,-4.37532928887101,0.437603223740581,-9.99839363949653,1.54889081111745e-23,1.3039086541728e-21,"PABPC1P11"
"ENSG00000237268.3",9.4291348794012,-4.35286600735716,0.535260433190116,-8.13223944354409,4.21431334237693e-16,6.68916942188191e-15,"ENSG00000237268"
"ENSG00000236965.4",2.90854448436704,-4.31881019665202,0.540944737117623,-7.98382884666635,1.41862689270948e-15,2.04278826135807e-14,"OR52N3P"
"ENSG00000283293.1",19571.3830801176,-4.29642962413912,0.253602229130497,-16.9416082771429,2.21972253536577e-64,6.52154480890463e-60,"RN7SK"
"ENSG00000254588.1",4.46162845305473,-4.28821318154975,0.398981051373709,-10.7479118789859,6.06183707884899e-27,1.39134405934289e-24,"ETS1-AS1"
"ENSG00000227737.3",3.65066811481864,-4.25442522027924,0.727711922417138,-5.84630413385,5.02614744516412e-09,2.71249470865029e-08,"OR8B1P"
"ENSG00000224493.1",5.75909320430876,-4.10236420137665,0.482658899522783,-8.4995101207763,1.90392458345547e-17,3.91717816960235e-16,"ENSG00000224493"
"ENSG00000287062.1",5.63900274310662,-4.10171507668841,0.456577071680823,-8.98362035918389,2.62000590357456e-19,7.80687357474854e-18,"ENSG00000287062"
"ENSG00000180974.5",7.7082853747036,-4.07830737969923,0.525089726960105,-7.76687710747975,8.04448241000566e-15,1.02358983631861e-13,"OR52E4"
"ENSG00000278249.1",651.873844447029,-4.02040143145037,0.263005379915727,-15.2863847604129,9.42383274852023e-53,9.22907353838414e-49,"SCARNA2"
"ENSG00000289572.1",3.7171223355167,-3.97618017104371,0.432785736068647,-9.18741039656867,4.02412018988413e-20,1.46503904806438e-18,"ENSG00000289572"
"ENSG00000229386.3",8.52469298748797,-3.91490763621866,0.5260330325801,-7.44232280816419,9.89301098311108e-14,1.04892335865681e-12,"OR8B9P"
"ENSG00000269950.1",35.266745914946,-3.90750532704482,0.407933796230839,-9.57877323023676,9.82044224093822e-22,5.15222487569223e-20,"ENSG00000269950"
"ENSG00000270615.1",6.00200228139556,-3.90731741179697,0.522675713667954,-7.47560544639963,7.68492077482049e-14,8.30389747569791e-13,"SGO1P1"
"ENSG00000259992.1",5.2158790704213,-3.88111824002409,0.738017335815274,-5.25884427326723,1.44963583542484e-07,6.37102480849392e-07,"ENSG00000259992"
"ENSG00000258903.2",5.00970273748911,-3.85842373431207,0.483756850073682,-7.97595679260021,1.51204836338707e-15,2.16175089617091e-14,"ENSG00000258903"
"ENSG00000240964.3",3.30313128277032,-3.83771730121816,0.371294681371628,-10.3360416773032,4.84123293810842e-25,6.21115387430678e-23,"RN7SL751P"
"ENSG00000280837.1",7.32942620931492,-3.83546307971016,0.565736104708872,-6.77959749746552,1.20511149175663e-11,9.33214961196883e-11,"CPS1-IT1"
"ENSG00000284762.1",19.6459302622569,-3.83527237063415,0.783671181033093,-4.89398163854668,9.88160623272627e-07,3.83111099389678e-06,"ENSG00000284762"
"ENSG00000277320.1",4.16639591141012,-3.83332549549147,0.823929727893889,-4.65249082016998,3.27949342424819e-06,1.17114809099757e-05,"ENSG00000277320"
"ENSG00000286843.1",14.083101819452,-3.80216217607346,0.466381540759842,-8.1524714075923,3.5656127010688e-16,5.76224978863594e-15,"ENSG00000286843"
"ENSG00000280496.1",4.98375435025415,-3.79162457276299,0.941833004951086,-4.02579284526125,5.6783662908151e-05,0.000165555623324549,"SNORA17B"
"ENSG00000286072.1",6.15426534028258,-3.78417201312313,0.419492139285902,-9.02084129529793,1.8665031961348e-19,5.7968143660085e-18,"ENSG00000286072"
"ENSG00000224593.1",24.9988102047455,-3.77825039438668,0.347782781312597,-10.8638224702409,1.71420264557979e-27,4.7068480118817e-25,"ENSG00000224593"
"ENSG00000235669.1",15.0803805130194,-3.75639751215875,0.376014776916871,-9.99002630417691,1.6853701478566e-23,1.40272450266365e-21,"CHN2-AS1"
"ENSG00000231739.2",2.7393846865089,-3.754150725051,0.371147433524215,-10.1149850058334,4.74089610221971e-24,4.58182656194786e-22,"GAPDHP59"
"ENSG00000253454.1",5.89990223787109,-3.73006404062841,0.447830359667372,-8.32918974809777,8.1397515026941e-17,1.49000560217541e-15,"NDUFA5P2"
"ENSG00000284609.2",4.63482742220801,-3.72546997744896,0.704809863680861,-5.28578013649346,1.25170159564131e-07,5.56606521567151e-07,"OR8B3"
"ENSG00000255030.1",3.84418835173655,-3.71508762158668,0.612079053068727,-6.06962058734191,1.28212790634873e-09,7.49251553295457e-09,"OR8B5P"
"ENSG00000242816.2",4.70334812452479,-3.71359939584783,0.51428356112379,-7.22091794599275,5.16378058882125e-13,4.88919992586427e-12,"ENSG00000242816"
"ENSG00000196341.3",21.4962952942635,-3.69808839615522,0.490590744552165,-7.53803131677711,4.7711929762142e-14,5.34417268933181e-13,"OR8D1"
"ENSG00000238795.1",32.44323423937,-3.68269323318773,0.540674436156934,-6.81129527662522,9.67238700408376e-12,7.60435456729946e-11,"SCARNA12"
"ENSG00000176951.6",31.7974076331263,-3.68167779448931,0.481930406652948,-7.639438690036,2.18170763559844e-14,2.58775011440784e-13,"OR51N1P"
"ENSG00000286059.1",26.6602975581746,-3.67810906193591,0.380613480329365,-9.6636331922691,4.30325660978854e-22,2.45972138512816e-20,"ENSG00000286059"
"ENSG00000187918.6",3.04923104425563,-3.6773101356339,0.467623106832041,-7.86383324927248,3.7255341355376e-15,5.01632414766703e-14,"OR51I2"
"ENSG00000176893.6",19.80600228101,-3.63649328701019,0.410548988659359,-8.85763547703551,8.17294577131984e-19,2.22128720408304e-17,"OR51G2"
"ENSG00000270071.4",73.8841473248271,-3.62755377117619,0.375307918483317,-9.6655401938647,4.22385577480493e-22,2.42376723952673e-20,"ENSG00000270071"
"ENSG00000248813.1",2.5601280645703,-3.6195009176007,0.475391156714454,-7.61373211612931,2.66292434301217e-14,3.12073064210999e-13,"ENSG00000248813"
"ENSG00000208892.1",7.49706044970549,-3.6104446583444,0.48046547316356,-7.51447265205535,5.71407917977088e-14,6.29878160893811e-13,"SNORA49"
"ENSG00000238917.1",11.101023825213,-3.57452828127843,0.701509418809512,-5.09548152232159,3.478559501116e-07,1.44268885012405e-06,"SNORD10"
"ENSG00000242103.1",2.85558471112799,-3.57061236218427,0.603866313385467,-5.91291860969405,3.36098280972083e-09,1.86242314125986e-08,"ENSG00000242103"
"ENSG00000231070.1",13.7102251662344,-3.56551476675425,0.479105395352987,-7.442025911913,9.91527669746938e-14,1.0509048678631e-12,"OR52Y1P"
"ENSG00000277422.1",7.16195387477841,-3.55612262776705,0.519896087840204,-6.84006421848679,7.91576876652772e-12,6.28894771121104e-11,"REXO1L6P"
"ENSG00000274441.1",5.94774521252663,-3.55539359011368,0.465540346427157,-7.63713310221114,2.2211185423963e-14,2.63130898288723e-13,"ENSG00000274441"
"ENSG00000279559.1",11.2922766797674,-3.54022137036182,0.392587788446437,-9.0176553488108,1.92157779793444e-19,5.96155815240907e-18,"ENSG00000279559"
"ENSG00000285561.1",7.84284218589207,-3.53509539015199,0.587870388541987,-6.01339250803157,1.81680417276874e-09,1.04151622626235e-08,"ENSG00000285561"
"ENSG00000240393.1",18.4685425847479,-3.53216982769316,0.522454858367982,-6.76071773689075,1.37309803108194e-11,1.05495868601431e-10,"ENSG00000240393"
"ENSG00000273003.1",6.79376017808577,-3.50289157597238,0.571463281635505,-6.12968792316321,8.80516157689289e-10,5.28921789264186e-09,"ARL2-SNX15"
"ENSG00000256861.1",4.59183759994504,-3.49646694419502,1.11789939694486,-3.12771162928492,0.00176172938083904,0.00389023744524998,"ENSG00000256861"
"ENSG00000284829.1",2.78031939617081,-3.47377864526748,0.827553553844093,-4.19764815114543,2.69701219738614e-05,8.3259659934018e-05,"ENSG00000284829"
"ENSG00000237986.4",3.4172324381177,-3.46678971409407,0.432393845607789,-8.01766664652921,1.07772814171703e-15,1.58239144446009e-14,"CELF2-AS2"
"ENSG00000222489.1",11.7732211281376,-3.46411741940763,0.321917623112939,-10.760881575571,5.26639283174672e-27,1.21831985351747e-24,"SNORA79B"
"ENSG00000255043.1",3.86523779975758,-3.45686859276791,0.454452966368948,-7.60665866126495,2.81272878121578e-14,3.27668404409674e-13,"NAV2-AS5"
"ENSG00000164756.13",6.96467581309038,-3.45265107558455,0.401110319905936,-8.60773434199906,7.45187049189188e-18,1.6725435832833e-16,"SLC30A8"
"ENSG00000183432.6",4.30042267869294,-3.44806829051604,0.351745660313134,-9.80273157441791,1.09581427145369e-22,7.43534025295831e-21,"ZBTB8OSP1"
"ENSG00000197023.6",5.71106306239171,-3.43685921014923,0.477382050760557,-7.19938926206734,6.04828540998327e-13,5.66152703709866e-12,"OR51A6P"
"ENSG00000241128.2",4.33541273576766,-3.42204497643776,0.42063459719641,-8.13543393540661,4.10465426801536e-16,6.54694584116674e-15,"OR14A2"
"ENSG00000176925.8",28.822539715887,-3.41836036257753,0.443353309648411,-7.71023986555635,1.25581481515251e-14,1.54182362177939e-13,"OR51F2"
"ENSG00000252481.1",24.4266738100889,-3.4170632095613,0.43090910704452,-7.92989322736283,2.1933438177733e-15,3.05688983183964e-14,"SCARNA13"
"ENSG00000277693.2",10.990064978376,-3.41055386388064,0.528747150933179,-6.45025482948021,1.11662235082339e-10,7.55907019981364e-10,"ENSG00000277693"
"ENSG00000264596.1",17.1233672872277,-3.39613731152694,0.336455913900992,-10.0938553052936,5.88132211506547e-24,5.55605285339625e-22,"ENSG00000264596"
"ENSG00000205176.3",36.81046944869,-3.39037807978362,0.418090810587078,-8.1091906206283,5.09580511761949e-16,7.950863215914e-15,"REXO1L1P"
"ENSG00000232492.1",3.32207922658629,-3.38799237315408,0.448932121802295,-7.54678092436904,4.46148122710475e-14,5.02793703307777e-13,"NPM1P13"
"ENSG00000224488.1",3.69171084980462,-3.38261678980012,0.361920034902571,-9.34630985739907,9.07590216269057e-21,3.7715700925014e-19,"SAMM50P1"
"ENSG00000197849.7",7.68193222867184,-3.35773326904078,0.507413727884041,-6.61734810180011,3.65699665467812e-11,2.65421348108802e-10,"OR8G1"
"ENSG00000243813.1",4.87873555125671,-3.34857811717687,0.562691327700094,-5.95100360061283,2.66503221895343e-09,1.49367887433903e-08,"ENSG00000243813"
"ENSG00000249558.1",5.15336316696569,-3.34444297335245,0.313939701007893,-10.6531380472595,1.68584377397486e-26,3.28013841585308e-24,"RCC2P4"
"ENSG00000140015.20",4.09879159408731,-3.33258942945341,0.411855617050947,-8.09164496363095,5.88642799024919e-16,9.09270527621036e-15,"KCNH5"
"ENSG00000287932.1",11.0672595648478,-3.29613043063941,0.356866205045861,-9.23631989814172,2.55120933452523e-20,9.6466576896205e-19,"ENSG00000287932"
"ENSG00000274012.1",28457.8944196718,-3.29542746631309,0.212368619411531,-15.5174878258598,2.64193374023692e-54,3.88100066440803e-50,"RN7SL2"
"ENSG00000241838.3",86.0956983358646,-3.29182268494955,0.433684664171793,-7.59035990178701,3.19018146542088e-14,3.67703144190135e-13,"ENSG00000241838"
"ENSG00000243314.1",3.39139966689391,-3.28166684361904,0.385089545919648,-8.52182791870383,1.57054621144919e-17,3.29355087026246e-16,"ENSG00000243314"
"ENSG00000248748.1",3.35613448158956,-3.27410141819632,0.377419224821933,-8.67497255801172,4.13650217089117e-18,9.76932747433944e-17,"MTND5P9"
"ENSG00000213781.3",8.64573233390807,-3.26385046649054,0.351794806015842,-9.27771078673505,1.73158788624313e-20,6.79226329743967e-19,"PSMC1P2"
