"gene_id","gene_name","n_targets","best_target","delta_corr","pseudotime_target","n_NORMAL","n_PRIMARY","n_MET","iso_up_id","iso_up_name","iso_down_id","iso_down_name","iso_up_corr","iso_down_corr"
"ENSG00000077157.22","PPP1R12B",134,"MTOR_UP.V1_DN",1.45685974066512,TRUE,0,10,1,"ENST00000608999.6","PPP1R12B-216","ENST00000391959.5","PPP1R12B-204",0.743025740895376,-0.71383399976974
"ENSG00000154370.16","TRIM11",131,"EIF4E_UP",1.62615563847059,FALSE,19,15,92,"ENST00000284551.11","TRIM11-201","ENST00000493030.6","TRIM11-204",0.827565954501072,-0.798589683969523
"ENSG00000075073.16","TACR2",126,"pseudotime",1.45179354090093,TRUE,6,53,0,"ENST00000373307.5","TACR2-202","ENST00000373306.5","TACR2-201",0.705352917081358,-0.746440623819571
"ENSG00000167395.10","ZNF646",108,"HALLMARK_KRAS_SIGNALING_DN",1.30957241465176,FALSE,23,0,0,"ENST00000300850.5","ZNF646-201","ENST00000394979.2","ZNF646-202",0.667283506984539,-0.642288907667223
"ENSG00000134318.15","ROCK2",98,"CYCLIN_D1_KE_.V1_UP",1.49670075035815,FALSE,0,8,81,"ENST00000315872.11","ROCK2-202","ENST00000401753.5","ROCK2-203",0.749037288993748,-0.747663461364405
"ENSG00000074603.19","DPP8",96,"CAMP_UP.V1_UP",1.44043895418816,FALSE,11,2,59,"ENST00000300141.11","DPP8-201","ENST00000341861.9","DPP8-203",0.72753667474133,-0.712902279446826
"ENSG00000113615.13","SEC24A",96,"CAMP_UP.V1_UP",1.36060681405327,FALSE,12,0,41,"ENST00000398844.7","SEC24A-202","ENST00000322887.8","SEC24A-201",0.701039642954202,-0.659567171099072
"ENSG00000146833.16","TRIM4",92,"ESC_V6.5_UP_LATE.V1_DN",1.35049351098826,FALSE,1,0,35,"ENST00000349062.7","TRIM4-201","ENST00000354241.5","TRIM4-202",0.689283139385402,-0.661210371602861
"ENSG00000056586.16","RC3H2",90,"SRC_UP.V1_UP",1.4369169669897,FALSE,0,0,70,"ENST00000357244.7","RC3H2-202","ENST00000423239.6","RC3H2-205",0.724660485244775,-0.71225648174493
"ENSG00000139725.8","RHOF",88,"IL2_UP.V1_UP",1.29141535870016,FALSE,0,0,53,"ENST00000267205.7","RHOF-201","ENST00000541657.5","RHOF-205",0.656196772348239,-0.635218586351917
"ENSG00000253305.3","PCDHGB6",88,"PID_PS1_PATHWAY",1.34253151408847,FALSE,23,27,0,"ENST00000520790.2","PCDHGB6-201","ENST00000616430.1","PCDHGB6-202",0.675803446152575,-0.666728067935892
"ENSG00000254122.3","PCDHGB7",84,"AKT_UP_MTOR_DN.V1_DN",1.29713236634624,FALSE,0,0,44,"ENST00000398594.4","PCDHGB7-201","ENST00000612073.1","PCDHGB7-202",0.638735300326567,-0.658397066019676
