"sample","subtype","pseudotime","type","ERF-202","ERF","ERF-203","ERF-201"
"LTL310","PRIMARY",171.159938759637,"LTL310",0,4.17782525107879,0,4.06574162789238
"LTL467","PRIMARY",175.030312607835,"LTL467",2.18456192405437,4.76689252337693,0.364979296975012,4.47712676148768
"LTL471","PRIMARY",170.809809839485,"LTL471",2.02370514450018,3.8507725561996,0,3.45373425305462
"LTL508","PRIMARY",174.259900812215,"LTL508",0.942581671229834,4.47239435082207,0.274520248323633,4.33626448720884
"SRR8528478","ARPC",177.547402976647,"LuCaP_23.1",3.96204225909387,5.47562298932487,0.150108293734583,4.8446877205693
"SRR8528479","ARPC",176.827492758321,"LuCaP_23.1",3.83288592779888,5.46338464742388,0.21218188376194,4.82002829014946
"SRR8528480","ARPC",181.757173745676,"LuCaP_23.1",3.8493729162648,5.63448155965245,0.197967371990358,5.09385146454508
"SRR8528481","ARPC",174.580526420013,"LuCaP_35CR",0,4.0655999745519,1.37701459787003,3.91680268844751
"SRR8528482","ARPC",175.6054968751,"LuCaP_35CR",2.00933649987358,4.60260358372563,0,4.37529748954089
"SRR8528483","ARPC",175.984714715046,"LuCaP_35CR",0,4.86828462407013,0,4.86609533596574
"SRR8528484","NEPC",208.415974275221,"LuCaP_49",2.50126056986806,5.13820560047188,0,4.85604386218627
"SRR8528485","NEPC",209.068754764394,"LuCaP_49",3.13088758852065,5.4839286192627,0.642413568999747,5.10649230710023
"SRR8528486","ARPC",181.158887657006,"LuCaP_70CR",1.58984063232056,3.71472562765209,0,3.47498207382957
"SRR8528487","ARPC",185.941637853161,"LuCaP_70CR",3.09639683535474,4.73878700340912,0,4.24776772412663
"SRR8528488","ARPC",182.861008948248,"LuCaP_73CR",4.24492832179539,6.23065976378324,0.954189016927576,5.80795825196354
"SRR8528489","ARPC",191.509574386539,"LuCaP_73CR",4.74719833558162,6.73605505531842,0.562988006255746,6.29779301540795
"SRR8528490","ARPC",174.259900812215,"LuCaP_77CR",1.94452327832608,4.16298607495491,0.184837133990528,3.8156918689256
"SRR8528491","ARPC",174.259900812215,"LuCaP_77CR",2.25254150840747,4.1109727623443,0.304270575022088,3.63853823163545
"SRR8528492","ARPC",172.534871401783,"LuCaP_78CR",0,4.4610265420475,0.363981554610532,4.42971524462533
"SRR8528493","ARPC",175.984714715046,"LuCaP_78CR",2.9449744302174,5.51951668533804,0,5.20326268301187
"SRR8528494","ARPC",176.8593245325,"LuCaP_81CR",0,5.42662306406099,0.3004394284132,5.41370329391826
"SRR8528495","ARPC",183.939133394572,"LuCaP_81CR",3.12135356880074,5.5985347400801,0.233259513880967,5.29724568612626
"SRR8528496","NEPC",205.31227681224,"LuCaP_93",2.95140426568464,5.21252154245044,0,4.84463322761292
"SRR8528497","NEPC",208.218901952294,"LuCaP_93",3.95254987249108,6.15208478594842,0,5.68593509439183
"SRR8528498","ARPC",187.721576060979,"LuCaP_96CR",0,4.74484633494276,0,4.66614671008283
"SRR8528499","ARPC",188.576590637714,"LuCaP_96CR",0.674852068186234,4.47912090548703,0,4.37207238819057
"SRR8528500","ARPC",184.609042336468,"LuCaP_96CR",0,4.39261766769484,0,4.30988563168839
"SRR8528501","ARPC",181.158887657006,"LuCaP_105CR",2.17974998529174,5.23248478907934,0,5.00586155761866
"SRR8528502","ARPC",175.352687119342,"LuCaP_105CR",2.09755856971213,5.15363275323437,0,4.99096157891292
"SRR8528503","ARPC",186.334216617208,"LuCaP_136CR",2.96630028384685,4.57755677817905,0.294045352187168,3.94231488999251
"SRR8528504","ARPC",180.146189673149,"LuCaP_136CR",0,4.61650143446961,0,4.60579876986706
"SRR8528505","NEPC",202.152744577367,"LuCaP_145.1",3.26444382121696,4.85193521874637,0.169419915531529,4.22206462076207
"SRR8528506","NEPC",202.716358251735,"LuCaP_145.1",2.20481898123066,4.7913864840403,0.672637500812522,4.45506739396818
"SRR8528507","NEPC",206.704586723384,"LuCaP_145.2",2.87130946290251,4.99218589068575,0.865329531161438,4.55723063097968
"SRR8528508","NEPC",205.31227681224,"LuCaP_145.2",3.32678902858584,4.9426374682702,0.886817944933354,4.27907184205916
"SRR8528509","ARPC",190.306402486533,"LuCaP_147CR",3.3021326902329,6.68973289436974,0,6.51560104301292
"SRR8528510","ARPC",182.442199645405,"LuCaP_147CR",2.8942027417411,6.0644253365803,0,5.91199305763883
"SRR8528511","NEPC",211.781625651306,"LuCaP_173.1",0,5.18810216595451,0.697570384318181,5.11769916074449
"SRR8528512","NEPC",211.768478744029,"LuCaP_173.1",2.3570700910005,5.09732787477895,0.167115995303457,4.84298736840046
"SRR8528513","DNPC",231.132643070355,"LuCaP_173.2",2.14557425079855,5.75954170702237,0.43080765745127,5.58959751289254
"SRR8528514","DNPC",209.708499961724,"LuCaP_173.2",3.22948068494189,5.64547083887155,0.139230669823336,5.29215681324318
"SRR8528515","DNPC",203.216490897686,"LuCaP_176",4.11516295118538,6.48085984223479,0,6.1111291816668
"SRR8528516","DNPC",201.861406843302,"LuCaP_176",4.18057264007707,6.06330794232605,0.104351993932271,5.50798648531671
"SRR9842104","DNPC",222.982913370965,"LuCaP_173.2_SPC",0,5.69981003925412,0,5.68017194148748
"SRR9842105","DNPC",221.533052929831,"LuCaP_173.2_ADE",2.7307821378195,6.23506124582091,0.376491750054397,6.0727827317692
"SRR9842106","DNPC",226.670687612101,"LuCaP_173.2_SPC",0,6.11969932886191,0,6.09407907767715
"SRR9842107","DNPC",212.902366502274,"LuCaP_173.2_ADE",0,6.15919288413361,0,6.14181820507963
