"gene_id","gene_name","valid_targets","tot_target","avg_targets"
"ENSG00000005893.16","LAMP2",6,6,1
"ENSG00000043093.15","DCUN1D1",1,1,1
"ENSG00000070413.20","DGCR2",1,1,1
"ENSG00000075240.17","GRAMD4",1,1,1
"ENSG00000078674.19","PCM1",2,2,1
"ENSG00000079999.14","KEAP1",1,1,1
"ENSG00000082258.13","CCNT2",1,1,1
"ENSG00000090238.12","YPEL3",2,2,1
"ENSG00000102871.16","TRADD",3,3,1
"ENSG00000103260.9","METRN",1,1,1
"ENSG00000107281.10","NPDC1",1,1,1
"ENSG00000116127.20","ALMS1",2,2,1
"ENSG00000116128.12","BCL9",1,1,1
"ENSG00000120948.19","TARDBP",2,2,1
"ENSG00000122642.11","FKBP9",1,1,1
"ENSG00000127993.16","RBM48",1,1,1
"ENSG00000132680.11","KHDC4",1,1,1
"ENSG00000136270.14","TBRG4",1,1,1
"ENSG00000137409.20","MTCH1",1,1,1
"ENSG00000139190.17","VAMP1",1,1,1
"ENSG00000141759.15","TXNL4A",1,1,1
"ENSG00000142599.19","RERE",2,2,1
"ENSG00000146416.19","AIG1",1,1,1
"ENSG00000150093.20","ITGB1",1,1,1
"ENSG00000152332.16","UHMK1",1,1,1
"ENSG00000155530.3","LRGUK",1,1,1
"ENSG00000156860.16","FBRS",1,1,1
"ENSG00000161010.16","MRNIP",1,1,1
"ENSG00000163728.11","TTC14",1,1,1
"ENSG00000164941.14","INTS8",1,1,1
"ENSG00000166337.11","TAF10",1,1,1
"ENSG00000170776.22","AKAP13",2,2,1
"ENSG00000173928.4","SWSAP1",1,1,1
"ENSG00000183723.13","CMTM4",1,1,1
"ENSG00000186866.17","POFUT2",1,1,1
"ENSG00000197951.10","ZNF71",5,5,1
"ENSG00000204713.11","TRIM27",1,1,1
"ENSG00000167380.17","ZNF226",9,10,0.9
"ENSG00000180822.12","PSMG4",5,6,0.833333333333333
"ENSG00000079432.9","CIC",4,5,0.8
"ENSG00000100393.14","EP300",8,10,0.8
"ENSG00000146267.12","FAXC",4,5,0.8
"ENSG00000164961.16","WASHC5",4,5,0.8
"ENSG00000105185.12","PDCD5",7,9,0.777777777777778
"ENSG00000105556.12","MIER2",7,9,0.777777777777778
"ENSG00000242028.8","HYPK",3,4,0.75
"ENSG00000108641.20","B9D1",11,15,0.733333333333333
"ENSG00000140836.17","ZFHX3",21,29,0.724137931034483
"ENSG00000196757.8","ZNF700",7,10,0.7
"ENSG00000012048.23","BRCA1",2,3,0.666666666666667
"ENSG00000100836.11","PABPN1",2,3,0.666666666666667
"ENSG00000189079.17","ARID2",2,3,0.666666666666667
"ENSG00000120733.14","KDM3B",3,5,0.6
"ENSG00000169180.12","XPO6",3,5,0.6
"ENSG00000198546.15","ZNF511",3,5,0.6
"ENSG00000013288.9","MAN2B2",7,12,0.583333333333333
"ENSG00000121578.13","B4GALT4",14,24,0.583333333333333
"ENSG00000156469.9","MTERF3",8,14,0.571428571428571
"ENSG00000189157.14","FAM47E",8,14,0.571428571428571
"ENSG00000163812.15","ZDHHC3",9,16,0.5625
"ENSG00000164244.21","PRRC1",5,9,0.555555555555556
"ENSG00000185010.15","F8",5,9,0.555555555555556
"ENSG00000197601.13","FAR1",6,11,0.545454545454545
"ENSG00000103942.13","HOMER2",19,35,0.542857142857143
"ENSG00000130770.18","ATP5IF1",13,25,0.52
"ENSG00000029364.12","SLC39A9",3,6,0.5
"ENSG00000037757.14","MRI1",1,2,0.5
"ENSG00000070610.14","GBA2",1,2,0.5
"ENSG00000100528.12","CNIH1",1,2,0.5
"ENSG00000100558.9","PLEK2",1,2,0.5
"ENSG00000103037.12","SETD6",1,2,0.5
"ENSG00000108100.18","CCNY",2,4,0.5
"ENSG00000119383.21","PTPA",3,6,0.5
"ENSG00000127481.15","UBR4",13,26,0.5
"ENSG00000130939.20","UBE4B",3,6,0.5
"ENSG00000132423.12","COQ3",1,2,0.5
"ENSG00000138029.14","HADHB",3,6,0.5
"ENSG00000147853.17","AK3",1,2,0.5
"ENSG00000152234.16","ATP5F1A",2,4,0.5
"ENSG00000173327.8","MAP3K11",4,8,0.5
"ENSG00000173409.14","ARV1",1,2,0.5
"ENSG00000175166.17","PSMD2",5,10,0.5
"ENSG00000182518.14","FAM104B",2,4,0.5
"ENSG00000240682.10","ISY1",2,4,0.5
"ENSG00000243156.9","MICAL3",2,4,0.5
"ENSG00000269713.8","NBPF9",1,2,0.5
"ENSG00000060491.17","OGFR",11,23,0.478260869565217
"ENSG00000146463.12","ZMYM4",9,19,0.473684210526316
"ENSG00000163933.10","RFT1",14,31,0.451612903225806
"ENSG00000101019.22","UQCC1",4,9,0.444444444444444
"ENSG00000111647.13","UHRF1BP1L",4,9,0.444444444444444
"ENSG00000167972.14","ABCA3",4,9,0.444444444444444
"ENSG00000196313.13","POM121",4,9,0.444444444444444
"ENSG00000108375.13","RNF43",7,16,0.4375
"ENSG00000179409.11","GEMIN4",7,16,0.4375
"ENSG00000183255.12","PTTG1IP",7,16,0.4375
"ENSG00000010244.19","ZNF207",9,21,0.428571428571429
"ENSG00000014919.13","COX15",3,7,0.428571428571429
"ENSG00000015133.20","CCDC88C",6,14,0.428571428571429
"ENSG00000118454.13","ANKRD13C",3,7,0.428571428571429
"ENSG00000119326.15","CTNNAL1",6,14,0.428571428571429
"ENSG00000133997.12","MED6",13,31,0.419354838709677
"ENSG00000125482.13","TTF1",5,12,0.416666666666667
"ENSG00000149182.15","ARFGAP2",5,12,0.416666666666667
"ENSG00000157456.8","CCNB2",5,12,0.416666666666667
"ENSG00000181666.19","ZNF875",5,12,0.416666666666667
"ENSG00000166575.17","TMEM135",11,27,0.407407407407407
"ENSG00000089876.12","DHX32",6,15,0.4
"ENSG00000104549.12","SQLE",2,5,0.4
"ENSG00000104812.15","GYS1",4,10,0.4
"ENSG00000105568.18","PPP2R1A",4,10,0.4
"ENSG00000115484.15","CCT4",2,5,0.4
"ENSG00000118096.10","IFT46",2,5,0.4
"ENSG00000136830.12","NIBAN2",2,5,0.4
"ENSG00000151131.11","NOPCHAP1",16,40,0.4
