"gene_id","gene_name","tot_target","perc_valid_CellLine","valid_targets_CellLine","valid_targets_CellLine_names","perc_valid_LTL_longitudinal","valid_targets_LTL_longitudinal","valid_targets_LTL_longitudinal_names","perc_valid_PDX_longitudinal","valid_targets_PDX_longitudinal","valid_targets_PDX_longitudinal_names"
"ENSG00000004487.18","KDM1A",1,0,0,"",1,1,"PID_CDC42_PATHWAY",0,0,""
"ENSG00000012048.23","BRCA1",2,0,0,"",0.5,1,"PID_ERBB1_INTERNALIZATION_PATHWAY",0.5,1,"PGF_UP.V1_UP"
"ENSG00000014257.16","ACP3",1,1,1,"AR_GSET",1,1,"AR_GSET",0,0,""
"ENSG00000015133.20","CCDC88C",6,0.333333333333333,2,"EIF4E_UP,HALLMARK_DNA_REPAIR",0.333333333333333,2,"EIF4E_UP,PID_ERBB1_INTERNALIZATION_PATHWAY",0.333333333333333,2,"PGF_UP.V1_UP,BCAT_BILD_ET_AL_DN"
"ENSG00000060491.17","OGFR",11,0.0909090909090909,1,"HALLMARK_ADIPOGENESIS",0.727272727272727,8,"STK33_NOMO_DN,STK33_DN,SIRNA_EIF4GI_UP,EIF4E_UP,MTOR_UP.N4.V1_UP,PDGF_ERK_DN.V1_UP,HALLMARK_ADIPOGENESIS,RB_P107_DN.V1_DN",0.272727272727273,3,"STK33_DN,HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION"
"ENSG00000063245.15","EPN1",6,0.333333333333333,2,"JAK2_DN.V1_DN,EIF4E_UP",0.666666666666667,4,"ESC_J1_UP_EARLY.V1_UP,JAK2_DN.V1_DN,EIF4E_UP,HALLMARK_UV_RESPONSE_UP",0.666666666666667,4,"ESC_J1_UP_EARLY.V1_UP,JAK2_DN.V1_DN,RAPA_EARLY_UP.V1_DN,SRC_UP.V1_UP"
"ENSG00000073803.14","MAP3K13",11,0,0,"",0.181818181818182,2,"HALLMARK_DNA_REPAIR,HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.181818181818182,2,"MTOR_UP.N4.V1_UP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE"
"ENSG00000074603.19","DPP8",4,0,0,"",0.25,1,"HALLMARK_UV_RESPONSE_UP",0.25,1,"RB_P130_DN.V1_UP"
"ENSG00000079432.9","CIC",4,0,0,"",0,0,"",0,0,""
"ENSG00000096717.12","SIRT1",1,0,0,"",1,1,"EIF4E_UP",0,0,""
"ENSG00000100393.14","EP300",8,0,0,"",0.75,6,"EIF4E_UP,HALLMARK_UV_RESPONSE_UP,RB_P130_DN.V1_UP,HALLMARK_DNA_REPAIR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,CAMP_UP.V1_UP",0.125,1,"EIF4E_UP"
"ENSG00000102871.16","TRADD",3,0,0,"",0.666666666666667,2,"LTE2_UP.V1_UP,RB_P130_DN.V1_DN",0,0,""
"ENSG00000103942.13","HOMER2",19,0.210526315789474,4,"HALLMARK_MYC_TARGETS_V2,HALLMARK_ADIPOGENESIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,MTOR_UP.N4.V1_DN",0.368421052631579,7,"JAK2_DN.V1_DN,HALLMARK_MYC_TARGETS_V2,HALLMARK_DNA_REPAIR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,MTOR_UP.N4.V1_DN,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,CAMP_UP.V1_UP",0.157894736842105,3,"SIRNA_EIF4GI_UP,AKT_UP.V1_UP,HALLMARK_ADIPOGENESIS"
"ENSG00000108375.13","RNF43",7,0,0,"",0.142857142857143,1,"EIF4E_UP",0.428571428571429,3,"PGF_UP.V1_UP,BCAT_BILD_ET_AL_DN,ERBB2_UP.V1_DN"
"ENSG00000110330.10","BIRC2",2,0,0,"",0.5,1,"EIF4E_UP",0.5,1,"PGF_UP.V1_UP"
"ENSG00000112576.13","CCND3",1,0,0,"",1,1,"PID_PLK1_PATHWAY",0,0,""
"ENSG00000113558.19","SKP1",2,0,0,"",0,0,"",0,0,""
"ENSG00000116128.12","BCL9",1,0,0,"",0,0,"",0,0,""
"ENSG00000125482.13","TTF1",5,0,0,"",0.4,2,"HALLMARK_MITOTIC_SPINDLE,EIF4E_UP",0,0,""
"ENSG00000129682.16","FGF13",3,0,0,"",0.333333333333333,1,"HALLMARK_DNA_REPAIR",0,0,""
"ENSG00000131828.14","PDHA1",1,0,0,"",0,0,"",0,0,""
"ENSG00000134245.18","WNT2B",16,0,0,"",0.0625,1,"PID_HEDGEHOG_2PATHWAY",0,0,""
"ENSG00000134318.15","ROCK2",7,0.285714285714286,2,"RAPA_EARLY_UP.V1_DN,RB_P130_DN.V1_UP",0.285714285714286,2,"RB_P130_DN.V1_UP,HALLMARK_DNA_REPAIR",0,0,""
"ENSG00000135111.16","TBX3",1,0,0,"",0,0,"",0,0,""
"ENSG00000151131.11","NOPCHAP1",16,0.3125,5,"GCNP_SHH_UP_LATE.V1_DN,EIF4E_UP,MTOR_UP.N4.V1_UP,HALLMARK_DNA_REPAIR,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.5625,9,"JAK2_DN.V1_DN,EIF4E_UP,HALLMARK_UV_RESPONSE_UP,HALLMARK_ADIPOGENESIS,HALLMARK_DNA_REPAIR,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,CAMP_UP.V1_UP",0.1875,3,"MTOR_UP.N4.V1_UP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,RB_P107_DN.V1_DN"
"ENSG00000154370.16","TRIM11",19,0,0,"",0.315789473684211,6,"JAK2_DN.V1_DN,EIF4E_UP,HALLMARK_UV_RESPONSE_UP,MYC_UP.V1_UP,HALLMARK_DNA_REPAIR,HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.105263157894737,2,"MYC_UP.V1_UP,HALLMARK_OXIDATIVE_PHOSPHORYLATION"
